Temperature 1,Dataset 1,Temperature 2,Dataset 2,Temperature 3,Dataset 3,Temperature 4,Dataset 4
0.352,0.00713,0.241,0.00367,0.494,0.0271,0.116,0.00236
0.423,0.0129,0.261,0.0043,0.575,0.0356,0.145,0.00338
0.534,0.0253,0.281,0.00587,0.604,0.044,0.17,0.00402
0.565,0.032,0.301,0.00675,0.604,0.0532,0.216,0.00533
0.644,0.047,0.322,0.00891,0.688,0.065,0.266,0.00847
0.727,0.0772,0.343,0.0101,0.739,0.0699,0.322,0.0128
0.748,0.0819,0.362,0.0109,0.829,0.0906,0.403,0.0178
0.807,0.138,0.382,0.0148,0,0,0.452,0.0359
0.846,0.19,0.432,0.0212,0,0,0.545,0.0686
0.929,0.281,0.452,0.0248,0,0,0.627,0.16
0.971,0.35,0.494,0.0307,0,0,0.689,0.283
0,0,0.525,0.0397,0,0,0,0
0,0,0.555,0.0535,0,0,0,0
0,0,0.603,0.0701,0,0,0,0
0,0,0.636,0.0889,0,0,0,0
0,0,0.654,0.0969,0,0,0,0
0,0,0.685,0.122,0,0,0,0
