Temperature,Conductivity,Temperature,Conductivity,Temperature,Conductivity,Temperature,Conductivity
0.115,0.00773,0.11,0.00102,0.13,0.00127,0.175,0.175
0.12,0.00949,0.12,0.00158,0.15,0.00225,0.225,0.262
0.125,0.0117,0.125,0.00327,0.155,0.00381,0.259,0.321
0.135,0.0146,0.135,0.00472,0.176,0.00918,0.329,0.376
0.145,0.0241,0.145,0.00766,0.226,0.0252,0.558,0.615
0.161,0.032,0.17,0.0176,0.244,0.0377,0.599,0.633
0.18,0.05,0.22,0.0774,0.276,0.0624,0.637,0.666
0.19,0.0726,0.271,0.189,0.329,0.103,0.72,0.726
0.199,0.0995,0.299,0.271,0.39,0.167,0.856,0.808
0.22,0.127,0.36,0.716,0.469,0.259,0,0
0.229,0.188,0.421,1.02,0.561,0.382,0,0
0.249,0.25,0.48,1.29,0.627,0.455,0,0
0.26,0.294,0.521,1.81,0.74,0.64,0,0
0.27,0.43,0.599,2.48,0.799,0.678,0,0
0.289,0.625,0.803,4.61,0.856,0.751,0,0
0.32,0.831,0,0,0.936,0.85,0,0
0.35,1.1,0,0,0,0,0,0
0.37,1.29,0,0,0,0,0,0
0.459,2.28,0,0,0,0,0,0
0.626,4.55,0,0,0,0,0,0
0.725,5.88,0,0,0,0,0,0
0.801,6.8,0,0,0,0,0,0
0.847,7.26,0,0,0,0,0,0
0.896,7.75,0,0,0,0,0,0
0.95,8.7,0,0,0,0,0,0
