# Frequency	NEF		NEP
   0.00000    3.67336   48.02810
   0.11921    6.99030   91.39530
   0.23842    7.18506   93.94511
   0.35763    6.27811   82.08766
   0.47684    5.82006   76.09810
   0.59605    5.38876   70.45491
   0.71526    4.96470   64.90635
   0.83447    4.92898   64.43755
   0.95367    4.56140   59.63366
   1.07288    4.23208   55.32993
   1.19209    4.25846   55.67522
   1.31130    8.86734  115.92391
   1.43051   11.60725  151.74388
   1.54972    5.53615   72.37627
   1.66893    4.06939   53.20159
   1.78814    3.91388   51.16500
   1.90735    3.87969   50.71824
   2.02656    4.02239   52.58597
   2.14577    4.12109   53.87660
   2.26498    4.01968   52.55050
   2.38419    3.91117   51.13238
   2.50340    3.88530   50.79419
   2.62260    3.85742   50.42894
   2.74181    3.78323   49.45935
   2.86102    3.71110   48.51774
   2.98023    3.71978   48.63149
   3.09944    3.74624   48.97703
   3.21865    3.89213   50.88241
   3.33786    3.95105   51.65442
   3.45707    3.87865   50.70642
   3.57628    3.69091   48.25026
   3.69549    3.69504   48.30647
   3.81470    3.77588   49.36545
   3.93391    3.83017   50.07188
   4.05312    3.85762   50.43270
   4.17233    4.01400   52.47801
   4.29153    8.77379  114.70879
   4.41074   10.24626  133.94839
   4.52995    4.76948   62.34535
   4.64916    3.50474   45.82041
   4.76837    3.65094   47.72939
   4.88758    3.70596   48.44878
   5.00679    3.95092   51.65284
   5.12600    3.84794   50.30540
   5.24521    3.73856   48.87343
   5.36442    3.64255   47.61820
   5.48363    3.59541   47.00267
   5.60284    3.63041   47.46410
   5.72205    3.65029   47.72277
   5.84126    3.62097   47.34084
   5.96046    3.42800   44.81546
   6.07967    3.54321   46.32190
   6.19888    3.71125   48.51599
   6.31809    3.72276   48.66612
   6.43730    3.51329   45.93005
   6.55651    3.59592   47.01090
   6.67572    3.69198   48.26739
   6.79493    3.55731   46.50510
   6.91414    3.67265   48.01390
   7.03335    3.70353   48.41675
   7.15256    3.50049   45.76279
   7.27177    3.61503   47.25895
   7.39098    3.58205   46.82917
   7.51019    3.67925   48.09833
   7.62939    3.53434   46.20387
   7.74860    3.33905   43.65075
   7.86781    3.33055   43.53972
