 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: 1602_resotank
 Data is De-embedded 
 Data File Written: 08/09/2018 20:50:18
< -> ,Created by dxfgeo, Sonnet Software Inc.
Project Date: 08/08/2018 19:41:24
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
100.0000000000000,-4.07525670e-12,0.2119517956769,1.187367089e-15,-6.627128942e-5,1.187373797e-15,-6.627128942e-5,-6.33099824e-13,0.2613755321076
102.5000000000000,-8.057263363e-5,0.2173005963175,-1.098408102e-8,-6.784641977e-5,-1.098408102e-8,-6.784641977e-5,-5.964202769e-5,0.2679640971421
105.0000000000000,-1.476950879e-4,0.2226447914445,-1.925991215e-8,-6.942037489e-5,-1.925991215e-8,-6.942037489e-5,-1.082135091e-4,0.2745460765241
107.5000000000000,-2.026590208e-4,0.2279842675921,-2.513540350e-8,-7.099360388e-5,-2.513540350e-8,-7.099360388e-5,-1.470163302e-4,0.2811218007867
110.0000000000000,-2.466716679e-4,0.2333189913401,-2.892544621e-8,-7.256646009e-5,-2.892544621e-8,-7.256646009e-5,-1.772273570e-4,0.2876916323200
112.5000000000000,-2.808575503e-4,0.2386489967535,-3.094080755e-8,-7.413921283e-5,-3.094080755e-8,-7.413921283e-5,-1.999084841e-4,0.2942559548818
115.0000000000000,-3.062609963e-4,0.2439743742293,-3.147993260e-8,-7.571205880e-5,-3.147993260e-8,-7.571205880e-5,-2.160162905e-4,0.3008151649896
117.5000000000000,-3.238492594e-4,0.2492952606592,-3.082315806e-8,-7.728513279e-5,-3.082315806e-8,-7.728513279e-5,-2.264112057e-4,0.3073696649246
120.0000000000000,-3.345160514e-4,0.2546118308065,-2.922888665e-8,-7.885851750e-5,-2.922888665e-8,-7.885851750e-5,-2.318661243e-4,0.3139198571027
122.5000000000000,-3.390853398e-4,0.2599242897907,-2.693132438e-8,-8.043225239e-5,-2.693132438e-8,-8.043225239e-5,-2.330744382e-4,0.3204661395985
125.0000000000000,-3.383152919e-4,0.2652328665735,-2.413943801e-8,-8.200634162e-5,-2.413943801e-8,-8.200634162e-5,-2.306574766e-4,0.3270089026375
127.5000000000000,-3.329022692e-4,0.2705378083450,-2.103684344e-8,-8.358076089e-5,-2.103684344e-8,-8.358076089e-5,-2.251713607e-4,0.3335485258949
130.0000000000000,-3.234847997e-4,0.2758393757109,-1.778238471e-8,-8.515546350e-5,-1.778238471e-8,-8.515546350e-5,-2.171132906e-4,0.3400853764637
132.5000000000000,-3.106474716e-4,0.2811378385903,-1.451120744e-8,-8.673038544e-5,-1.451120744e-8,-8.673038544e-5,-2.069272899e-4,0.3466198073754
