 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: 1602_resotank
 Data is De-embedded 
 Data File Written: 08/08/2018 17:27:41
< -> ,Created by dxfgeo, Sonnet Software Inc.
Project Date: 08/08/2018 03:02:26
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
100.0000000000000,1.361314106e-14,0.0356105475087,-8.58479604e-19,2.0760450425e-7,-2.57152322e-19,2.0760450392e-7,-1.08342027e-12,0.2994027108693
102.5000000000000,2.1378594145e-8,0.0365008198355,-2.195242186e-9,2.1334747351e-7,-2.195242186e-9,2.1334747351e-7,5.1496308856e-6,0.3069264734862
105.0000000000000,3.9400546647e-8,0.0373910957533,-3.963707704e-9,2.1887041182e-7,-3.963707704e-9,2.1887041182e-7,1.0916065598e-5,0.3144446173681
107.5000000000000,5.4366268340e-8,0.0382813752584,-5.266159988e-9,2.2429703922e-7,-5.266159988e-9,2.2429703922e-7,1.6873166842e-5,0.3219579382302
110.0000000000000,6.6551172978e-8,0.0391716583485,-6.116141192e-9,2.2974553630e-7,-6.116141192e-9,2.2974553630e-7,2.2690321669e-5,0.3294671696098
112.5000000000000,7.6209163635e-8,0.0400619450222,-6.568689809e-9,2.3531278797e-7,-6.568689809e-9,2.3531278797e-7,2.8117537891e-5,0.3369729836227
115.0000000000000,8.3575036991e-8,0.0409522352790,-6.704350290e-9,2.4106896638e-7,-6.704350290e-9,2.4106896638e-7,3.2972384695e-5,0.3444759926812
117.5000000000000,8.8866531342e-8,0.0418425291194,-6.613284111e-9,2.4706075007e-7,-6.613284111e-9,2.4706075007e-7,3.7128639228e-5,0.3519767518845
120.0000000000000,9.2286070382e-8,0.0427328265445,-6.381824774e-9,2.5331884091e-7,-6.381824774e-9,2.5331884091e-7,4.0506454388e-5,0.3594757618713
122.5000000000000,9.4022247769e-8,0.0436231275560,-6.082181312e-9,2.5986510377e-7,-6.082181312e-9,2.5986510377e-7,4.3063876049e-5,0.3669734719703
125.0000000000000,9.4251091771e-8,0.0445134321559,-5.765877385e-9,2.6671617166e-7,-5.765877385e-9,2.6671617166e-7,4.4789552166e-5,0.3744702835195
127.5000000000000,9.3137143288e-8,0.0454037403464,-5.461843022e-9,2.7388305109e-7,-5.461843022e-9,2.7388305109e-7,4.5696490648e-5,0.3819665532572
130.0000000000000,9.0834376282e-8,0.0462940521296,-5.179385885e-9,2.8136879912e-7,-5.179385885e-9,2.8136879912e-7,4.5816737317e-5,0.3894625967079
