R 50.00000
Frequency (MHz),RE[Z11],IM[Z11],RE[Z12],IM[Z12],RE[Z21],IM[Z21],RE[Z22],IM[Z22]
0.100000000000000,9.56366645211e5,-1.1463887214e6,9.56366645549e5,-1.1463887273e6,9.56366645503e5,-1.1463887273e6,9.56366645290e5,-1.1463887215e6
2.500000000000000,9540.5944953215,-1.4660252123e5,9540.5947356525,-1.4660253026e5,9540.5947356525,-1.4660253026e5,9540.5944341296,-1.4660252103e5
5.000000000000000,2559.5467043892,-74919.65546632,2559.5469503767,-74919.66807755,2559.5469503767,-74919.66807755,2559.5466627649,-74919.65563559
7.500000000000000,1186.6797067048,-50294.62825313,1186.6799524645,-50294.64446291,1186.6799524645,-50294.64446291,1186.6796728135,-50294.62881731
10.00000000000000,691.03879032655,-37849.65789385,691.03903422479,-37849.67770594,691.03903422479,-37849.67770594,691.03876083473,-37849.65885890
12.50000000000000,456.24784007770,-30340.96911293,456.24808145024,-30340.99252927,456.24808145024,-30340.99252927,456.24781359106,-30340.97048118
15.00000000000000,326.15912214712,-25317.96563466,326.15936067002,-25317.99265656,326.15936067002,-25317.99265656,326.15909795214,-25317.96740721
17.50000000000000,246.30111335959,-21721.73027488,246.30134885897,-21721.76090343,246.30134885897,-21721.76090343,246.30109104305,-21721.73245235
20.00000000000000,193.59453274692,-19019.99433380,193.59476512530,-19020.02856992,193.59476512530,-19020.02856992,193.59451204852,-19019.99691652
22.50000000000000,156.87854358496,-16915.95158342,156.87877278779,-16915.98942798,156.87877278779,-16915.98942798,156.87852433047,-16915.95457159
25.00000000000000,130.21022573163,-15231.02557759,130.21045173030,-15231.06703138,130.21045173030,-15231.06703138,130.21020779889,-15231.02897130
27.50000000000000,110.18370578862,-13851.33355821,110.18392857115,-13851.37862203,110.18392857115,-13851.37862203,110.18368908886,-13851.33735754
30.00000000000000,94.730419209239,-12700.82411756,94.730638774714,-12700.87279217,94.730638774714,-12700.87279217,94.730403676042,-12700.82832252
32.50000000000000,82.533483834652,-11726.77290068,82.533700189836,-11726.82518683,82.533700189836,-11726.82518683,82.533469417117,-11726.77751126
35.00000000000000,72.721257000536,-10891.47596029,72.721470157658,-10891.53185871,72.721470157658,-10891.53185871,72.721243658875,-10891.48097647
37.50000000000000,64.697574379731,-10167.25660570,64.697784355003,-10167.31611711,64.697784355003,-10167.31611711,64.697562082306,-10167.26202744
40.00000000000000,58.043116596075,-9533.339865125,58.043323408674,-9533.402990242,58.043323408674,-9533.402990242,58.043105317358,-9533.345692382
42.50000000000000,52.455735580075,-8973.827418322,52.455939251418,-8973.894157857,52.455939251418,-8973.894157857,52.455725299199,-8973.833651040
45.00000000000000,47.713073010672,-8476.346019348,47.713273563890,-8476.416374005,47.713273563890,-8476.416374005,47.713063710387,-8476.352657468
47.50000000000000,43.648423540235,-8031.121818204,43.648620999789,-8031.195788682,43.648620999789,-8031.195788682,43.648415206131,-8031.128861661
50.00000000000000,40.134730229039,-7630.331821910,40.134924620428,-7630.409408901,40.134924620428,-7630.409408901,40.134722848971,-7630.339270638
52.50000000000000,37.073719618189,-7267.640294833,37.073910967726,-7267.721499029,37.073910967726,-7267.721499029,37.073713181825,-7267.648148762
55.00000000000000,34.388369550079,-6937.861362883,34.388557884720,-6937.946184968,34.388557884720,-6937.946184968,34.388364048561,-6937.869621942
57.50000000000000,32.017588198945,-6636.709479544,32.017773546153,-6636.797920200,32.017773546153,-6636.797920200,32.017583624620,-6636.718143658
60.00000000000000,29.912390766022,-6360.612170673,29.912573153663,-6360.704230577,29.912573153663,-6360.704230577,29.912387112228,-6360.621239767
62.50000000000000,28.033109633688,-6106.567648225,28.033289089940,-6106.663328052,28.033289089939,-6106.663328052,28.033106894583,-6106.577122225
65.00000000000000,26.347329832365,-5872.035231594,26.347506385652,-5872.134532014,26.347506385652,-5872.134532014,26.347328002789,-5872.045110423
67.50000000000000,24.828341495391,-5654.850083573,24.828515174328,-5654.953005253,24.828515174328,-5654.953005253,24.828340570755,-5654.860367152
70.00000000000000,23.453966054711,-5453.156191040,23.454136888052,-5453.262734645,23.454136888052,-5453.262734645,23.453966030904,-5453.166879293
