R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
100.0000000000000,4.3683669572e-9,4.4486980511e-7,-9.445705902e-9,-9.482345249e-7,-9.445705902e-9,-9.482345249e-7,3.1650474381e-6,3.4106350469e-4
105.0000000000000,4.4508768153e-9,4.6711314528e-7,-9.737129399e-9,-9.956205807e-7,-9.737129399e-9,-9.956205807e-7,3.2463393684e-6,3.5810775311e-4
110.0000000000000,4.5333340899e-9,4.8935651756e-7,-1.001345717e-8,-1.043013768e-6,-1.001345717e-8,-1.043013768e-6,3.3238740677e-6,3.7515586121e-4
115.0000000000000,4.6157419443e-9,5.1159991942e-7,-1.027572373e-8,-1.090414639e-6,-1.027572373e-8,-1.090414639e-6,3.3979904401e-6,3.9220801391e-4
120.0000000000000,4.6981034335e-9,5.3384335194e-7,-1.052494231e-8,-1.137823687e-6,-1.052494231e-8,-1.137823687e-6,3.4690160595e-6,4.0926437327e-4
125.0000000000000,4.7804215772e-9,5.5608681607e-7,-1.076210119e-8,-1.185241343e-6,-1.076210119e-8,-1.185241343e-6,3.5372661856e-6,4.2632507995e-4
130.0000000000000,4.8626992839e-9,5.7833031261e-7,-1.098816030e-8,-1.232667986e-6,-1.098816030e-8,-1.232667986e-6,3.6030428625e-6,4.4339025498e-4
135.0000000000000,4.9449394028e-9,6.0057384223e-7,-1.120404838e-8,-1.280103940e-6,-1.120404838e-8,-1.280103940e-6,3.6666341809e-6,4.6046000145e-4
140.0000000000000,5.0271446800e-9,6.2281740548e-7,-1.141066042e-8,-1.327549484e-6,-1.141066042e-8,-1.327549484e-6,3.7283136978e-6,4.7753440624e-4
145.0000000000000,5.1093177818e-9,6.4506100280e-7,-1.160885561e-8,-1.375004851e-6,-1.160885561e-8,-1.375004851e-6,3.7883400044e-6,4.9461354163e-4
150.0000000000000,5.1914612559e-9,6.6730463455e-7,-1.179945562e-8,-1.422470236e-6,-1.179945562e-8,-1.422470236e-6,3.8469564320e-6,5.1169746699e-4
155.0000000000000,5.2735775597e-9,6.8954830098e-7,-1.198324331e-8,-1.469945796e-6,-1.198324331e-8,-1.469945796e-6,3.9043908867e-6,5.2878623030e-4
160.0000000000000,5.3556690429e-9,7.1179200224e-7,-1.216096179e-8,-1.517431658e-6,-1.216096179e-8,-1.517431658e-6,3.9608558030e-6,5.4587986970e-4
165.0000000000000,5.4377379440e-9,7.3403573846e-7,-1.233331385e-8,-1.564927920e-6,-1.233331385e-8,-1.564927920e-6,4.0165482040e-6,5.6297841490e-4
170.0000000000000,5.5197863865e-9,7.5627950965e-7,-1.250096165e-8,-1.612434653e-6,-1.250096165e-8,-1.612434653e-6,4.0716498590e-6,5.8008188860e-4
175.0000000000000,5.6018164081e-9,7.7852331581e-7,-1.266452684e-8,-1.659951910e-6,-1.266452684e-8,-1.659951910e-6,4.1263275277e-6,5.9719030772e-4
180.0000000000000,5.6838299080e-9,8.0076715687e-7,-1.282459078e-8,-1.707479725e-6,-1.282459078e-8,-1.707479725e-6,4.1807332789e-6,6.1430368472e-4
185.0000000000000,5.7658286931e-9,8.2301103275e-7,-1.298169517e-8,-1.755018118e-6,-1.298169517e-8,-1.755018118e-6,4.2350048759e-6,6.3142202864e-4
190.0000000000000,5.8478144688e-9,8.4525494330e-7,-1.313634275e-8,-1.802567097e-6,-1.313634275e-8,-1.802567097e-6,4.2892662168e-6,6.4854534622e-4
195.0000000000000,5.9297888267e-9,8.6749888839e-7,-1.328899833e-8,-1.850126663e-6,-1.328899833e-8,-1.850126663e-6,4.3436278217e-6,6.6567364287e-4
200.0000000000000,6.0117532672e-9,8.8974286786e-7,-1.344008987e-8,-1.897696809e-6,-1.344008987e-8,-1.897696809e-6,4.3981873570e-6,6.8280692355e-4
205.0000000000000,6.0937091820e-9,9.1198688154e-7,-1.359000974e-8,-1.945277527e-6,-1.359000974e-8,-1.945277527e-6,4.4530301896e-6,6.9994519363e-4
210.0000000000000,6.1756578776e-9,9.3423092925e-7,-1.373911609e-8,-1.992868805e-6,-1.373911609e-8,-1.992868805e-6,4.5082299631e-6,7.1708845959e-4
215.0000000000000,6.2576005674e-9,9.5647501083e-7,-1.388773433e-8,-2.040470635e-6,-1.388773433e-8,-2.040470635e-6,4.5638491892e-6,7.3423672973e-4
220.0000000000000,6.3395383688e-9,9.7871912614e-7,-1.403615862e-8,-2.088083009e-6,-1.403615862e-8,-2.088083009e-6,4.6199398485e-6,7.5139001478e-4
