 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: Cap_300MHz_coupled
 Data is De-embedded 
 Data File Written: 06/07/2019 17:31:32
Project Date: 06/07/2019 00:39:44
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33]
100.0000000000000,1.7823495961e-4,0.0175158394651,-1.762463356e-4,-0.017300169174,-3.132063845e-9,-4.697040962e-6,-1.762463356e-4,-0.017300169174,1.8025465211e-4,0.0177137523004,-2.462656051e-6,-2.458378758e-4,-3.132063845e-9,-4.697040962e-6,-2.462656051e-6,-2.458378758e-4,2.5866863657e-6,2.6330356815e-4
110.0000000000000,1.8747434270e-4,0.0194166086845,-1.853063838e-4,-0.019180352633,2.3974773476e-8,-4.075531157e-6,-1.853063838e-4,-0.019180352633,1.8945242495e-4,0.0196361556453,-2.585734378e-6,-2.715425464e-4,2.3974773476e-8,-4.075531157e-6,-2.585734378e-6,-2.715425464e-4,2.6844807815e-6,2.8965965735e-4
120.0000000000000,1.9758762574e-4,0.0213623857084,-1.953706344e-4,-0.021105718863,5.3703552488e-8,-3.157803854e-6,-1.953706344e-4,-0.021105718863,1.9967114604e-4,0.0216041207235,-2.707682593e-6,-2.975635269e-4,5.3703552488e-8,-3.157803854e-6,-2.707682593e-6,-2.975635269e-4,2.7823127971e-6,3.1602258741e-4
130.0000000000000,2.0848528073e-4,0.0233591033363,-2.062606744e-4,-0.023082278887,8.2187733455e-8,-1.885003873e-6,-2.062606744e-4,-0.023082278887,2.1074273007e-4,0.0236236323832,-2.828478345e-6,-3.239559311e-4,8.2187733455e-8,-1.885003873e-6,-2.828478345e-6,-3.239559311e-4,2.8801394055e-6,3.4239340257e-4
140.0000000000000,2.2014475318e-4,0.0254131206589,-2.179167850e-4,-0.025116460067,1.1172971404e-7,-2.028325437e-7,-2.179167850e-4,-0.025116460067,2.2259990734e-4,0.0257011281389,-2.951417902e-6,-3.507721320e-4,1.1172971404e-7,-2.028325437e-7,-2.951417902e-6,-3.507721320e-4,2.9779901337e-6,3.6877305396e-4
150.0000000000000,2.3259678818e-4,0.0275313124648,-2.303576228e-4,-0.027215196379,1.4566070242e-7,1.9414769439e-6,-2.303576228e-4,-0.027215196379,2.3525135028e-4,0.0278435746047,-3.079672080e-6,-3.780645438e-4,1.4566070242e-7,1.9414769439e-6,-3.079672080e-6,-3.780645438e-4,3.0759142303e-6,3.9516243812e-4
160.0000000000000,2.4591490747e-4,0.0297211675771,-2.436559528e-4,-0.029386030436,1.8671649864e-7,4.6023889939e-6,-2.436559528e-4,-0.029386030436,2.4876267793e-4,0.0300585605547,-3.215540316e-6,-4.058883158e-4,1.8671649864e-7,4.6023889939e-6,-3.215540316e-6,-4.058883158e-4,3.1739579253e-6,4.2156243415e-4
170.0000000000000,2.6020753632e-4,0.0319909007050,-2.579238766e-4,-0.031637229159,2.3682154215e-7,7.8384485204e-6,-2.579238766e-4,-0.031637229159,2.6324265128e-4,0.0323544075596,-3.360586282e-6,-4.343032501e-4,2.3682154215e-7,7.8384485204e-6,-3.360586282e-6,-4.343032501e-4,3.2721555901e-6,4.4797393050e-4
180.0000000000000,2.7561260979e-4,0.0343495819499,-2.733041390e-4,-0.033977916541,2.9729045750e-7,1.1714057597e-5,-2.733041390e-4,-0.033977916541,2.7883384562e-4,0.0347403004238,-3.515927201e-6,-4.633752703e-4,2.9729045750e-7,1.1714057597e-5,-3.515927201e-6,-4.633752703e-4,3.3705304515e-6,4.7439784854e-4
190.0000000000000,2.9229457699e-4,0.0368072884074,-2.899657010e-4,-0.036418227909,3.6910180080e-7,1.6300975665e-5,-2.899657010e-4,-0.036418227909,2.9570718504e-4,0.0372264408799,-3.682489045e-6,-4.931777521e-4,3.6910180080e-7,1.6300975665e-5,-3.682489045e-6,-4.931777521e-4,3.4690964526e-6,5.0083515864e-4
200.0000000000000,3.1044375140e-4,0.0393752831362,-3.081026061e-4,-0.038969491113,4.5314025678e-7,2.1679778752e-5,-3.081026061e-4,-0.038969491113,3.1405985342e-4,0.0398242293291,-3.861200877e-6,-5.237929057e-4,4.5314025678e-7,2.1679778752e-5,-3.861200877e-6,-5.237929057e-4,3.5678615937e-6,5.2728689490e-4
210.0000000000000,3.3027798538e-4,0.0420662280637,-3.279356297e-4,-0.041644441413,5.5038745018e-7,2.7941439881e-5,-3.279356297e-4,-0.041644441413,3.3411623351e-4,0.0425464810004,-4.053140116e-6,-5.553133351e-4,5.5038745018e-7,2.7941439881e-5,-4.053140116e-6,-5.553133351e-4,3.6668310439e-6,5.5375416891e-4
220.0000000000000,3.5204670303e-4,0.0448944391934,-3.497164889e-4,-0.044457478623,6.6206796556e-7,3.5189155920e-5,-3.497164889e-4,-0.044457478623,3.5613167083e-4,0.0454076848622,-4.259645030e-6,-5.878438745e-4,6.6206796556e-7,3.5189155920e-5,-4.259645030e-6,-5.878438745e-4,3.7660098061e-6,5.8023818406e-4
230.0000000000000,3.7603741619e-4,0.0478761949029,-3.737346093e-4,-0.047424977457,7.8976464021e-7,4.3540534915e-5,-3.737346093e-4,-0.047424977457,3.8039902049e-4,0.0484243161589,-4.482409021e-6,-6.215037985e-4,7.8976464022e-7,4.3540534915e-5,-4.482409021e-6,-6.215037985e-4,3.8654046885e-6,6.0674025164e-4
240.0000000000000,4.0258498328e-4,0.0510301113660,-4.003266454e-4,-0.050565665292,9.3551853068e-7,5.3130264790e-5,-4.003266454e-4,-0.050565665292,4.0725812348e-4,0.0516152167630,-4.723569524e-6,-6.564295220e-4,9.3551853068e-7,5.3130264790e-5,-4.723569524e-6,-6.564295220e-4,3.9650269717e-6,6.3326181131e-4
250.0000000000000,4.3208405904e-4,0.0543776034973,-4.298891809e-4,-0.053901085892,1.1019273681e-6,6.4113406914e-5,-4.298891809e-4,-0.053901085892,4.3710858761e-4,0.0550020619825,-4.985802498e-6,-6.927779282e-4,1.1019273681e-6,6.4113406914e-5,-4.985802498e-6,-6.927779282e-4,4.0648919081e-6,6.5980445218e-4
260.0000000000000,4.6500544531e-4,0.0579434557627,-4.628953135e-4,-0.057456173641,1.2922576148e-6,7.6669494794e-5,-4.628953135e-4,-0.057456173641,4.7042654189e-4,0.0586099384805,-5.272434887e-6,-7.307305039e-4,1.2922576148e-6,7.6669494794e-5,-5.272434887e-6,-7.307305039e-4,4.1650218308e-6,6.8636994463e-4
270.0000000000000,5.0191741587e-4,0.0617565353664,-4.999162054e-4,-0.061259970996,1.5105833011e-6,9.1007675477e-5,-4.999162054e-4,-0.061259970996,5.0778641921e-4,0.0624680662444,-5.587586623e-6,-7.704985221e-4,1.5105833011e-6,9.1007675477e-5,-5.587586623e-6,-7.704985221e-4,4.2654463910e-6,7.1296027582e-4
280.0000000000000,5.4351360151e-4,0.0658506917130,-5.416492024e-4,-0.065346533359,1.7619685169e-6,1.0737321123e-4,-5.416492024e-4,-0.065346533359,5.4988935601e-4,0.0666107090567,-5.936357723e-6,-8.123295902e-4,1.7619685169e-6,1.0737321123e-4,-5.936357723e-6,-8.123295902e-4,4.3662040753e-6,7.3957769674e-4
290.0000000000000,5.9064975937e-4,0.0702659021048,-5.889548643e-4,-0.069756081692,2.0527133424e-6,1.2605577526e-4,-5.889548643e-4,-0.069756081692,5.9760055342e-4,0.0710783341852,-6.325079580e-6,-8.565160013e-4,2.0527133424e-6,1.2605577526e-4,-6.325079580e-6,-8.565160013e-4,4.4673438700e-6,7.6622478193e-4
300.0000000000000,6.4439283495e-4,0.0750497466393,-6.429063435e-4,-0.074536486358,2.3906899377e-6,1.4740014159e-4,-6.429063435e-4,-0.074536486358,6.5199904815e-4,0.0759191052894,-6.761656856e-6,-9.034054927e-4,2.3906899377e-6,1.4740014159e-4,-6.761656856e-6,-9.034054927e-4,4.5689274976e-6,7.9290450681e-4
