 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: TKID_Module_Capacitor_with_feedline_3outof16
 Data is De-embedded 
 Data File Written: 04/15/2020 23:38:40
Project Date: 04/14/2020 19:26:07
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y14],IM[Y14],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y24],IM[Y24],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33],RE[Y34],IM[Y34],RE[Y41],IM[Y41],RE[Y42],IM[Y42],RE[Y43],IM[Y43],RE[Y44],IM[Y44]
ILD_thickness = 0.3
ILD_dielectric_const = 3.9
100.0000000000000,1.2134812080e-9,0.0025308284373,-8.43869124e-10,-1.875549447e-3,-2.49129611e-12,-3.279503416e-6,-3.51923617e-13,5.4005219984e-9,-8.43868983e-10,-1.875549447e-3,9.352398091e-10,0.0022173868021,-1.24570736e-11,-2.729244502e-5,-7.06461833e-12,-1.530799059e-5,-2.50841660e-12,-3.279503399e-6,-1.24453876e-11,-2.729244497e-5,2.7515119249e-9,-1.387397392385,-2.651562552e-9,1.3876611356906,-3.31024148e-13,5.4004962013e-9,-7.06782637e-12,-1.530799056e-5,-2.651439776e-9,1.3876611356906,2.7412716204e-9,-1.387456881146
105.0000000000000,-1.358789250e-8,0.0026579597020,-9.02292596e-10,-1.969840839e-3,2.5093170556e-9,-3.453536382e-6,-2.468649017e-9,1.9022616252e-8,-9.02292596e-10,-1.969840839e-3,-1.388292148e-8,0.0023287268997,-4.280583928e-9,-2.865703374e-5,4.2641503306e-9,-1.607750543e-5,2.5093170556e-9,-3.453536382e-6,-4.280583928e-9,-2.865703374e-5,-3.870220649e-7,-1.321175404394,3.8730847802e-7,1.3214523367730,-2.468649017e-9,1.9022616252e-8,4.2641503303e-9,-1.607750543e-5,3.8730847802e-7,1.3214523367730,-3.871261356e-7,-1.321237869428
110.0000000000000,-2.304863087e-8,0.0027851791987,-8.87069749e-10,-2.064207991e-3,3.8427981676e-9,-3.623312376e-6,-3.749772107e-9,2.8739569583e-8,-8.87069749e-10,-2.064207991e-3,-2.342181965e-8,0.0024401383993,-6.769931524e-9,-3.002368611e-5,6.7548714457e-9,-1.684554252e-5,3.8427981676e-9,-3.623312376e-6,-6.769931524e-9,-3.002368611e-5,-5.872367415e-7,-1.260988199428,5.8764326633e-7,1.2612783208473,-3.749772107e-9,2.8739569583e-8,6.7548714454e-9,-1.684554252e-5,5.8764326633e-7,1.2612783208473,-5.874001532e-7,-1.261053640294
115.0000000000000,-2.811617775e-8,0.0029124904614,-8.28379555e-10,-2.158654597e-3,4.3650842042e-9,-3.789607632e-6,-4.221750903e-9,3.5363230321e-8,-8.28379555e-10,-2.158654597e-3,-2.858553762e-8,0.0025516238862,-7.922727671e-9,-3.139223829e-5,7.9075788717e-9,-1.761229591e-5,4.3650842042e-9,-3.789607632e-6,-7.922727671e-9,-3.139223829e-5,-6.694060645e-7,-1.206046586359,6.6988195515e-7,1.2063498969280,-4.221750902e-9,3.5363230321e-8,7.9075788716e-9,-1.761229591e-5,6.6988195515e-7,1.2063498969280,-6.696066937e-7,-1.206115002891
120.0000000000000,-2.967110119e-8,0.0030398972221,-7.55379177e-10,-2.253184349e-3,4.3443761699e-9,-3.953051837e-6,-4.160648017e-9,3.9558738268e-8,-7.55379177e-10,-2.253184349e-3,-3.022717598e-8,0.0026631861549,-8.098427939e-9,-3.276252653e-5,8.0820342937e-9,-1.837795938e-5,4.3443761699e-9,-3.953051837e-6,-8.098427939e-9,-3.276252653e-5,-6.711145773e-7,-1.155693238185,6.7161872192e-7,1.1560097380462,-4.160648017e-9,3.9558738268e-8,8.0820342938e-9,-1.837795938e-5,6.7161872192e-7,1.1560097380462,-6.713329423e-7,-1.155764630274
125.0000000000000,-2.851317724e-8,0.0031674033809,-6.93750226e-10,-2.347800934e-3,3.9753364620e-9,-4.114155828e-6,-3.766312767e-9,4.1871843310e-8,-6.93750226e-10,-2.347800934e-3,-2.913116315e-8,0.0027748281786,-7.586837416e-9,-3.413439139e-5,7.5683780427e-9,-1.914272236e-5,3.9753364620e-9,-4.114155828e-6,-7.586837417e-9,-3.413439139e-5,-6.198409345e-7,-1.109376251970,6.2034094663e-7,1.1097059412921,-3.766312767e-9,4.1871843310e-8,7.5683780429e-9,-1.914272236e-5,6.2034094663e-7,1.1097059412921,-6.200604882e-7,-1.109450619551
130.0000000000000,-2.535347169e-8,0.0032950129770,-6.64170958e-10,-2.442508043e-3,3.3981119374e-9,-4.273333952e-6,-3.181788199e-9,4.2750968608e-8,-6.64170958e-10,-2.442508043e-3,-2.600211872e-8,0.0028865530796,-6.619211588e-9,-3.550768072e-5,6.5982123448e-9,-1.990676691e-5,3.3981119374e-9,-4.273333952e-6,-6.619211588e-9,-3.550768072e-5,-5.356663972e-7,-1.066628828323,5.3613768669e-7,1.0669717073003,-3.181788199e-9,4.2750968608e-8,6.5982123449e-9,-1.990676691e-5,5.3613768669e-7,1.0669717073003,-5.358736391e-7,-1.066706171373
135.0000000000000,-2.081128544e-8,0.0034227301629,-6.81545261e-10,-2.537309368e-3,2.7125377085e-9,-4.430922009e-6,-2.507894431e-9,4.2564958599e-8,-6.81545261e-10,-2.537309368e-3,-2.145912445e-8,0.0029983641024,-5.377698516e-9,-3.688225207e-5,5.3540230431e-9,-2.067026538e-5,2.7125377085e-9,-4.430922009e-6,-5.377698516e-9,-3.688225207e-5,-4.332168948e-7,-1.027053476576,4.3364170644e-7,1.0274095454222,-2.507894431e-9,4.2564958599e-8,5.3540230431e-9,-2.067026538e-5,4.3364170644e-7,1.0274095454222,-4.334012679e-7,-1.027133795102
