 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: TKID_Module_Capacitor_with_feedline_4outof16
 Data is De-embedded 
 Data File Written: 04/16/2020 10:13:25
Project Date: 04/15/2020 23:07:31
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y14],IM[Y14],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y24],IM[Y24],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33],RE[Y34],IM[Y34],RE[Y41],IM[Y41],RE[Y42],IM[Y42],RE[Y43],IM[Y43],RE[Y44],IM[Y44]
ILD_thickness = 0.3
ILD_dielectric_const = 3.9
100.0000000000000,1.4544774783e-9,0.0031023977241,-1.090205318e-9,-2.448416706e-3,-3.00681123e-12,-4.108862684e-6,-2.89357730e-13,3.0440450469e-7,-1.090205152e-9,-2.448416706e-3,1.1960628269e-9,0.0028115016314,-1.51409646e-11,-3.333834518e-5,-8.77901448e-12,-1.909014905e-5,-2.91272295e-12,-4.108862696e-6,-1.51193818e-11,-3.333834522e-5,3.0935024344e-9,-1.387397324079,-2.990318119e-9,1.3876686858198,-3.12501626e-13,3.0440451237e-7,-8.75158998e-12,-1.909014905e-5,-2.990054079e-9,1.3876686858195,3.0820987522e-9,-1.387460569810
105.0000000000000,-5.966740730e-9,0.0032585395147,-4.237689975e-9,-2.571765931e-3,4.307368360e-10,-4.327942771e-6,2.963441793e-10,3.3876109471e-7,-4.237689975e-9,-2.571765931e-3,-6.272053362e-9,0.0029529540094,-2.078384328e-8,-3.500943597e-5,2.0245664745e-8,-2.004766986e-5,4.307368360e-10,-4.327942771e-6,-2.078384327e-8,-3.500943597e-5,-1.757763819e-6,-1.321178581155,1.7579737647e-6,1.3214635128271,2.963441794e-10,3.3876109471e-7,2.0245664745e-8,-2.004766986e-5,1.7579737647e-6,1.3214635128271,-1.757954650e-6,-1.321244991012
110.0000000000000,-1.029603000e-8,0.0034148301533,-6.523345168e-9,-2.695250830e-3,5.356113744e-10,-4.539709507e-6,7.630088053e-10,3.6641482896e-7,-6.523345168e-9,-2.695250830e-3,-1.046851073e-8,0.0030945332926,-3.338662749e-8,-3.668096741e-5,3.2423388781e-8,-2.100544886e-5,5.356113744e-10,-4.539709507e-6,-3.338662749e-8,-3.668096741e-5,-2.768119874e-6,-1.260993048102,2.7684087060e-6,1.2612915498410,7.630088053e-10,3.6641482896e-7,3.2423388781e-8,-2.100544886e-5,2.7684087060e-6,1.2612915498410,-2.768465909e-6,-1.261062621835
115.0000000000000,-1.223015725e-8,0.0035712767616,-8.029802673e-9,-2.818878237e-3,5.389548278e-10,-4.745901324e-6,1.1662205802e-9,3.8917884484e-7,-8.029802673e-9,-2.818878237e-3,-1.219744277e-8,0.0032362456376,-3.970335962e-8,-3.835372399e-5,3.8423382277e-8,-2.196280475e-5,5.389548279e-10,-4.745901324e-6,-3.970335962e-8,-3.835372399e-5,-3.237112490e-6,-1.206051958132,3.2374483555e-6,1.2063640301132,1.1662205802e-9,3.8917884484e-7,3.8423382277e-8,-2.196280475e-5,3.2374483555e-6,1.2063640301132,-3.237567226e-6,-1.206124695581
120.0000000000000,-1.238063368e-8,0.0037278865998,-8.842790533e-9,-2.942654980e-3,5.400126424e-10,-4.947832770e-6,1.4074851140e-9,4.0843933784e-7,-8.842790533e-9,-2.942654980e-3,-1.214620204e-8,0.0033780973375,-4.128597212e-8,-4.002817806e-5,3.9806720975e-8,-2.291936263e-5,5.400126424e-10,-4.947832770e-6,-4.128597212e-8,-4.002817806e-5,-3.321135788e-6,-1.155698298204,3.3214927668e-6,1.1560239406283,1.4074851140e-9,4.0843933784e-7,3.9806720976e-8,-2.291936263e-5,3.3214927668e-6,1.1560239406283,-3.321653725e-6,-1.155774199263
125.0000000000000,-1.127220201e-8,0.0038846670402,-9.047319567e-9,-3.066587885e-3,5.646837611e-10,-5.146491823e-6,1.4672386069e-9,4.2525231740e-7,-9.047319567e-9,-3.066587885e-3,-1.088878518e-8,0.0035200947900,-3.940279095e-8,-4.170457819e-5,3.7843055066e-8,-2.387496518e-5,5.646837611e-10,-5.146491823e-6,-3.940279095e-8,-4.170457819e-5,-3.136711178e-6,-1.109380401539,3.1370687208e-6,1.1097196146275,1.4672386070e-9,4.2525231740e-7,3.7843055066e-8,-2.387496518e-5,3.1370687208e-6,1.1097196146275,-3.137249489e-6,-1.109459466146
130.0000000000000,-9.345348046e-9,0.0040416255462,-8.725153842e-9,-3.190683785e-3,6.007830168e-10,-5.342616086e-6,1.3683523153e-9,4.4041947714e-7,-8.725153842e-9,-3.190683785e-3,-8.893265877e-9,0.0036622444724,-3.507905629e-8,-4.338301660e-5,3.3553025536e-8,-2.482960526e-5,6.007830168e-10,-5.342616086e-6,-3.507905629e-8,-4.338301660e-5,-2.770888432e-6,-1.066631647220,2.7712308455e-6,1.0669844312122,1.3683523153e-9,4.4041947714e-7,3.3553025537e-8,-2.482960526e-5,2.7712308455e-6,1.0669844312122,-2.771408263e-6,-1.066713875353
135.0000000000000,-6.961527324e-9,0.0041987696543,-7.953263838e-9,-3.314949525e-3,6.201495406e-10,-5.536752307e-6,1.1529012984e-9,4.5454762590e-7,-7.953263839e-9,-3.314949525e-3,-6.531667646e-9,0.0038045529210,-2.913366754e-8,-4.506347981e-5,2.7746632269e-8,-2.578337535e-5,6.201495405e-10,-5.536752307e-6,-2.913366754e-8,-4.506347981e-5,-2.288748696e-6,-1.027054679881,2.2890644873e-6,1.0274210350303,1.1529012984e-9,4.5454762590e-7,2.7746632269e-8,-2.578337535e-5,2.2890644873e-6,1.0274210350303,-2.289215779e-6,-1.027140071545
