 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: TKID_Module_FullResonator_16outof16_2uminductor
 Data is NOT De-embedded 
 Data File Written: 09/27/2020 15:15:23
Project Date: 09/22/2020 10:51:34
R 50.00000
Frequency (MHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
451.0000000000000,-2.245979687e-3,-0.029992162712,0.9950255186200,-0.094971256485,0.9950255186202,-0.094971256485,-3.468256347e-3,-0.029875501518
451.0200000000000,-2.246910080e-3,-0.029998768304,0.9950244113741,-0.094980740670,0.9950244113741,-0.094980740670,-3.469164563e-3,-0.029882097398
451.0400000000000,-2.247848634e-3,-0.030005431804,0.9950232966782,-0.094990282814,0.9950232966782,-0.094990282814,-3.470079533e-3,-0.029888751315
451.0600000000000,-2.248795485e-3,-0.030012154195,0.9950221744059,-0.094999883863,0.9950221744059,-0.094999883863,-3.471001346e-3,-0.029895464190
451.0800000000000,-2.249750771e-3,-0.030018936450,0.9950210444316,-0.095009544787,0.9950210444316,-0.095009544787,-3.471930115e-3,-0.029902236996
451.1000000000000,-2.250714633e-3,-0.030025779561,0.9950199066265,-0.095019266580,0.9950199066265,-0.095019266580,-3.472865956e-3,-0.029909070727
451.1200000000000,-2.251687214e-3,-0.030032684543,0.9950187608593,-0.095029050258,0.9950187608593,-0.095029050258,-3.473808989e-3,-0.029915966399
451.1400000000000,-2.252668663e-3,-0.030039652432,0.9950176069954,-0.095038896858,0.9950176069954,-0.095038896858,-3.474759335e-3,-0.029922925049
451.1600000000000,-2.253659130e-3,-0.030046684289,0.9950164448973,-0.095048807441,0.9950164448973,-0.095048807441,-3.475717119e-3,-0.029929947740
451.1800000000000,-2.254658768e-3,-0.030053781199,0.9950152744245,-0.095058783093,0.9950152744245,-0.095058783093,-3.476682467e-3,-0.029937035558
451.2000000000000,-2.255667735e-3,-0.030060944271,0.9950140954331,-0.095068824924,0.9950140954331,-0.095068824924,-3.477655509e-3,-0.029944189613
451.2200000000000,-2.256686194e-3,-0.030068174640,0.9950129077758,-0.095078934068,0.9950129077758,-0.095078934068,-3.478636380e-3,-0.029951411041
451.2400000000000,-2.257714308e-3,-0.030075473466,0.9950117113022,-0.095089111688,0.9950117113022,-0.095089111688,-3.479625215e-3,-0.029958701004
451.2600000000000,-2.258752246e-3,-0.030082841936,0.9950105058580,-0.095099358972,0.9950105058580,-0.095099358972,-3.480622153e-3,-0.029966060691
451.2800000000000,-2.259800182e-3,-0.030090281267,0.9950092912855,-0.095109677135,0.9950092912855,-0.095109677135,-3.481627338e-3,-0.029973491319
451.3000000000000,-2.260858292e-3,-0.030097792701,0.9950080674232,-0.095120067422,0.9950080674232,-0.095120067422,-3.482640915e-3,-0.029980994132
451.3200000000000,-2.261926758e-3,-0.030105377511,0.9950068341059,-0.095130531107,0.9950068341059,-0.095130531107,-3.483663034e-3,-0.029988570405
451.3400000000000,-2.263005764e-3,-0.030113037000,0.9950055911643,-0.095141069494,0.9950055911643,-0.095141069494,-3.484693847e-3,-0.029996221443
451.3600000000000,-2.264095500e-3,-0.030120772503,0.9950043384251,-0.095151683917,0.9950043384251,-0.095151683917,-3.485733513e-3,-0.030003948580
451.3800000000000,-2.265196161e-3,-0.030128585385,0.9950030757106,-0.095162375744,0.9950030757106,-0.095162375744,-3.486782191e-3,-0.030011753186
451.4000000000000,-2.266307947e-3,-0.030136477045,0.9950018028392,-0.095173146374,0.9950018028392,-0.095173146374,-3.487840045e-3,-0.030019636660
451.4200000000000,-2.267431061e-3,-0.030144448917,0.9950005196245,-0.095183997242,0.9950005196245,-0.095183997242,-3.488907245e-3,-0.030027600437
451.4400000000000,-2.268565712e-3,-0.030152502467,0.9949992258755,-0.095194929815,0.9949992258755,-0.095194929815,-3.489983964e-3,-0.030035645987
451.4600000000000,-2.269712114e-3,-0.030160639200,0.9949979213967,-0.095205945600,0.9949979213967,-0.095205945600,-3.491070377e-3,-0.030043774815
451.4800000000000,-2.270870488e-3,-0.030168860657,0.9949966059876,-0.095217046137,0.9949966059876,-0.095217046137,-3.492166667e-3,-0.030051988464
451.5000000000000,-2.272041058e-3,-0.030177168418,0.9949952794426,-0.095228233008,0.9949952794426,-0.095228233008,-3.493273020e-3,-0.030060288515
451.5200000000000,-2.273224055e-3,-0.030185564100,0.9949939415509,-0.095239507832,0.9949939415509,-0.095239507832,-3.494389625e-3,-0.030068676589
451.5400000000000,-2.274419716e-3,-0.030194049364,0.9949925920965,-0.095250872270,0.9949925920965,-0.095250872270,-3.495516680e-3,-0.030077154348
451.5600000000000,-2.275628283e-3,-0.030202625911,0.9949912308578,-0.095262328025,0.9949912308578,-0.095262328025,-3.496654384e-3,-0.030085723496
451.5800000000000,-2.276850006e-3,-0.030211295487,0.9949898576073,-0.095273876843,0.9949898576073,-0.095273876843,-3.497802943e-3,-0.030094385778
451.6000000000000,-2.278085140e-3,-0.030220059880,0.9949884721119,-0.095285520515,0.9949884721119,-0.095285520515,-3.498962568e-3,-0.030103142989
451.6200000000000,-2.279333946e-3,-0.030228920928,0.9949870741323,-0.095297260878,0.9949870741323,-0.095297260878,-3.500133476e-3,-0.030111996964
451.6400000000000,-2.280596695e-3,-0.030237880513,0.9949856634228,-0.095309099817,0.9949856634228,-0.095309099817,-3.501315889e-3,-0.030120949591
451.6600000000000,-2.281873661e-3,-0.030246940569,0.9949842397313,-0.095321039267,0.9949842397313,-0.095321039267,-3.502510035e-3,-0.030130002805
451.6800000000000,-2.283165128e-3,-0.030256103079,0.9949828027991,-0.095333081212,0.9949828027991,-0.095333081212,-3.503716148e-3,-0.030139158593
451.7000000000000,-2.284471388e-3,-0.030265370081,0.9949813523603,-0.095345227691,0.9949813523603,-0.095345227691,-3.504934469e-3,-0.030148418992
451.7200000000000,-2.285792739e-3,-0.030274743664,0.9949798881422,-0.095357480796,0.9949798881422,-0.095357480796,-3.506165245e-3,-0.030157786096
451.7400000000000,-2.287129488e-3,-0.030284225976,0.9949784098643,-0.095369842674,0.9949784098643,-0.095369842674,-3.507408730e-3,-0.030167262055
451.7600000000000,-2.288481950e-3,-0.030293819222,0.9949769172386,-0.095382315534,0.9949769172386,-0.095382315534,-3.508665184e-3,-0.030176849077
451.7800000000000,-2.289850450e-3,-0.030303525667,0.9949754099693,-0.095394901640,0.9949754099693,-0.095394901640,-3.509934876e-3,-0.030186549429
451.8000000000000,-2.291235320e-3,-0.030313347637,0.9949738877522,-0.095407603323,0.9949738877522,-0.095407603323,-3.511218079e-3,-0.030196365441
