 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: TKID_Module_FullResonator_4outof16
 Data is NOT De-embedded 
 Data File Written: 04/19/2020 13:11:38
Project Date: 04/14/2020 14:25:39
R 50.00000
Frequency (MHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
658.0000000000000,-3.747911880e-3,-0.036628390142,0.9906575115505,-0.131306086225,0.9906575115507,-0.131306086226,-5.924352083e-3,-0.036339901041
658.0200000000000,-3.755200696e-3,-0.036676846241,0.9906489051794,-0.131357232729,0.9906489051794,-0.131357232729,-5.933724085e-3,-0.036387965700
658.0400000000000,-3.762614754e-3,-0.036726107593,0.9906401567306,-0.131409181418,0.9906401567306,-0.131409181418,-5.943254689e-3,-0.036436829263
658.0599999999999,-3.770157463e-3,-0.036776194928,0.9906312624810,-0.131461952952,0.9906312624810,-0.131461952952,-5.952948151e-3,-0.036486512178
658.0799999999999,-3.777832281e-3,-0.036827129602,0.9906222185305,-0.131515568603,0.9906222185305,-0.131515568603,-5.962808813e-3,-0.036537035625
658.1000000000000,-3.785642788e-3,-0.036878933715,0.9906130208389,-0.131570050386,0.9906130208389,-0.131570050386,-5.972841172e-3,-0.036588421521
658.1200000000000,-3.793592698e-3,-0.036931630141,0.9906036652193,-0.131625421083,0.9906036652193,-0.131625421083,-5.983049886e-3,-0.036640692549
658.1400000000000,-3.801685860e-3,-0.036985242565,0.9905941473317,-0.131681704287,0.9905941473317,-0.131681704287,-5.993439786e-3,-0.036693872199
658.1600000000000,-3.809926264e-3,-0.037039795515,0.9905844626757,-0.131738924430,0.9905844626757,-0.131738924430,-6.004015877e-3,-0.036747984795
658.1799999999999,-3.818318051e-3,-0.037095314406,0.9905746065830,-0.131797106825,0.9905746065830,-0.131797106825,-6.014783353e-3,-0.036803055539
658.1999999999999,-3.826865520e-3,-0.037151825576,0.9905645742099,-0.131856277706,0.9905645742099,-0.131856277706,-6.025747601e-3,-0.036859110549
658.2199999999999,-3.835573131e-3,-0.037209356326,0.9905543605284,-0.131916464268,0.9905543605284,-0.131916464268,-6.036914215e-3,-0.036916176901
658.2400000000000,-3.844445518e-3,-0.037267934973,0.9905439603179,-0.131977694713,0.9905439603179,-0.131977694713,-6.048288998e-3,-0.036974282673
658.2600000000000,-3.853487494e-3,-0.037327590888,0.9905333681554,-0.132039998298,0.9905333681554,-0.132039998298,-6.059877980e-3,-0.037033456992
658.2800000000000,-3.862704062e-3,-0.037388354553,0.9905225784062,-0.132103405382,0.9905225784062,-0.132103405382,-6.071687426e-3,-0.037093730083
658.3000000000000,-3.872100423e-3,-0.037450257609,0.9905115852130,-0.132167947481,0.9905115852130,-0.132167947481,-6.083723846e-3,-0.037155133323
658.3199999999999,-3.881681986e-3,-0.037513332914,0.9905003824849,-0.132233657322,0.9905003824849,-0.132233657322,-6.095994010e-3,-0.037217699294
658.3399999999999,-3.891454378e-3,-0.037577614602,0.9904889638857,-0.132300568903,0.9904889638857,-0.132300568903,-6.108504959e-3,-0.037281461842
658.3600000000000,-3.901423459e-3,-0.037643138145,0.9904773228218,-0.132368717554,0.9904773228218,-0.132368717554,-6.121264019e-3,-0.037346456142
658.3800000000000,-3.911595327e-3,-0.037709940419,0.9904654524282,-0.132438140004,0.9904654524282,-0.132438140004,-6.134278816e-3,-0.037412718758
658.4000000000000,-3.921976337e-3,-0.037778059775,0.9904533455552,-0.132508874451,0.9904533455552,-0.132508874451,-6.147557293e-3,-0.037480287718
658.4200000000000,-3.932573111e-3,-0.037847536113,0.9904409947531,-0.132580960633,0.9904409947531,-0.132580960633,-6.161107722e-3,-0.037549202584
658.4399999999999,-3.943392553e-3,-0.037918410961,0.9904283922564,-0.132654439913,0.9904283922564,-0.132654439913,-6.174938726e-3,-0.037619504533
