 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: TKID_Module_FullResonator_6outof16
 Data is NOT De-embedded 
 Data File Written: 04/18/2020 18:37:04
Project Date: 04/03/2020 13:46:21
R 50.00000
Frequency (MHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
540.0000000000000,-2.245079104e-3,-0.027855448940,0.9940126549793,-0.105630511856,0.9940126549793,-0.105630511856,-3.659238933e-3,-0.027705170227
540.1000000000000,-2.246725620e-3,-0.027867281421,0.9940095388243,-0.105656679529,0.9940095388243,-0.105656679529,-3.661576563e-3,-0.027716891548
540.1999999999999,-2.248387256e-3,-0.027879233606,0.9940064057356,-0.105682966646,0.9940064057356,-0.105682966646,-3.663932514e-3,-0.027728732021
540.3000000000000,-2.250064414e-3,-0.027891308661,0.9940032552732,-0.105709376367,0.9940032552732,-0.105709376367,-3.666307269e-3,-0.027740694799
540.4000000000000,-2.251757506e-3,-0.027903509864,0.9940000869814,-0.105735911964,0.9940000869814,-0.105735911964,-3.668701323e-3,-0.027752783148
540.5000000000000,-2.253466962e-3,-0.027915840613,0.9939969003880,-0.105762576828,0.9939969003880,-0.105762576828,-3.671115195e-3,-0.027765000450
540.6000000000000,-2.255193223e-3,-0.027928304427,0.9939936950038,-0.105789374471,0.9939936950038,-0.105789374471,-3.673549417e-3,-0.027777350210
540.6999999999999,-2.256936751e-3,-0.027940904956,0.9939904703214,-0.105816308533,0.9939904703214,-0.105816308533,-3.676004546e-3,-0.027789836061
540.8000000000000,-2.258698022e-3,-0.027953645982,0.9939872258147,-0.105843382791,0.9939872258147,-0.105843382791,-3.678481156e-3,-0.027802461768
540.9000000000000,-2.260477532e-3,-0.027966531430,0.9939839609378,-0.105870601159,0.9939839609378,-0.105870601159,-3.680979844e-3,-0.027815231240
541.0000000000000,-2.262275793e-3,-0.027979565371,0.9939806751243,-0.105897967703,0.9939806751242,-0.105897967703,-3.683501228e-3,-0.027828148530
541.1000000000000,-2.264093340e-3,-0.027992752031,0.9939773677858,-0.105925486637,0.9939773677858,-0.105925486637,-3.686045953e-3,-0.027841217846
541.1999999999999,-2.265930726e-3,-0.028006095799,0.9939740383117,-0.105953162342,0.9939740383117,-0.105953162342,-3.688614686e-3,-0.027854443556
541.3000000000000,-2.267788526e-3,-0.028019601232,0.9939706860673,-0.105980999365,0.9939706860673,-0.105980999365,-3.691208120e-3,-0.027867830198
541.4000000000000,-2.269667338e-3,-0.028033273066,0.9939673103931,-0.106009002432,0.9939673103931,-0.106009002432,-3.693826976e-3,-0.027881382488
541.5000000000000,-2.271567786e-3,-0.028047116223,0.9939639106032,-0.106037176455,0.9939639106032,-0.106037176455,-3.696472003e-3,-0.027895105326
541.6000000000000,-2.273490514e-3,-0.028061135822,0.9939604859846,-0.106065526543,0.9939604859846,-0.106065526543,-3.699143982e-3,-0.027909003808
541.6999999999999,-2.275436196e-3,-0.028075337186,0.9939570357949,-0.106094058007,0.9939570357949,-0.106094058007,-3.701843723e-3,-0.027923083235
541.8000000000000,-2.277405533e-3,-0.028089725858,0.9939535592618,-0.106122776377,0.9939535592618,-0.106122776377,-3.704572071e-3,-0.027937349124
541.9000000000000,-2.279399255e-3,-0.028104307604,0.9939500555808,-0.106151687409,0.9939500555808,-0.106151687409,-3.707329905e-3,-0.027951807217
542.0000000000000,-2.281418120e-3,-0.028119088433,0.9939465239138,-0.106180797099,0.9939465239138,-0.106180797099,-3.710118140e-3,-0.027966463497
542.1000000000000,-2.283462922e-3,-0.028134074604,0.9939429633874,-0.106210111691,0.9939429633874,-0.106210111691,-3.712937731e-3,-0.027981324194
542.1999999999999,-2.285534487e-3,-0.028149272641,0.9939393730909,-0.106239637697,0.9939393730909,-0.106239637697,-3.715789673e-3,-0.027996395805
542.3000000000000,-2.287633676e-3,-0.028164689348,0.9939357520743,-0.106269381907,0.9939357520743,-0.106269381907,-3.718675005e-3,-0.028011685104
542.4000000000000,-2.289761388e-3,-0.028180331823,0.9939320993463,-0.106299351403,0.9939320993463,-0.106299351403,-3.721594809e-3,-0.028027199157
542.5000000000000,-2.291918563e-3,-0.028196207475,0.9939284138717,-0.106329553579,0.9939284138717,-0.106329553579,-3.724550217e-3,-0.028042945341
542.6000000000000,-2.294106180e-3,-0.028212324040,0.9939246945693,-0.106359996154,0.9939246945693,-0.106359996154,-3.727542410e-3,-0.028058931359
542.6999999999999,-2.296325266e-3,-0.028228689601,0.9939209403092,-0.106390687195,0.9939209403092,-0.106390687195,-3.730572623e-3,-0.028075165257
542.8000000000000,-2.298576891e-3,-0.028245312606,0.9939171499098,-0.106421635131,0.9939171499098,-0.106421635131,-3.733642146e-3,-0.028091655447
542.9000000000000,-2.300862177e-3,-0.028262201890,0.9939133221353,-0.106452848778,0.9939133221353,-0.106452848778,-3.736752330e-3,-0.028108410723
543.0000000000000,-2.303182298e-3,-0.028279366695,0.9939094556921,-0.106484337361,0.9939094556921,-0.106484337361,-3.739904589e-3,-0.028125440290
543.1000000000000,-2.305538483e-3,-0.028296816699,0.9939055492255,-0.106516110535,0.9939055492255,-0.106516110535,-3.743100402e-3,-0.028142753781
543.1999999999999,-2.307932019e-3,-0.028314562035,0.9939016013161,-0.106548178413,0.9939016013161,-0.106548178413,-3.746341319e-3,-0.028160361286
543.3000000000000,-2.310364257e-3,-0.028332613324,0.9938976104760,-0.106580551593,0.9938976104760,-0.106580551593,-3.749628967e-3,-0.028178273378
543.4000000000000,-2.312836612e-3,-0.028350981703,0.9938935751445,-0.106613241188,0.9938935751445,-0.106613241188,-3.752965050e-3,-0.028196501146
543.5000000000000,-2.315350572e-3,-0.028369678854,0.9938894936834,-0.106646258856,0.9938894936834,-0.106646258856,-3.756351358e-3,-0.028215056219
543.6000000000000,-2.317907696e-3,-0.028388717041,0.9938853643725,-0.106679616835,0.9938853643725,-0.106679616835,-3.759789770e-3,-0.028233950809
543.6999999999999,-2.320509626e-3,-0.028408109145,0.9938811854042,-0.106713327979,0.9938811854042,-0.106713327979,-3.763282260e-3,-0.028253197740
543.8000000000000,-2.323158087e-3,-0.028427868705,0.9938769548779,-0.106747405798,0.9938769548779,-0.106747405798,-3.766830903e-3,-0.028272810491
543.9000000000000,-2.325854892e-3,-0.028448009960,0.9938726707940,-0.106781864500,0.9938726707940,-0.106781864500,-3.770437885e-3,-0.028292803237
544.0000000000000,-2.328601953e-3,-0.028468547891,0.9938683310472,-0.106816719036,0.9938683310472,-0.106816719036,-3.774105505e-3,-0.028313190895
544.1000000000000,-2.331401283e-3,-0.028489498276,0.9938639334196,-0.106851985150,0.9938639334196,-0.106851985150,-3.777836184e-3,-0.028333989174
544.1999999999999,-2.334255004e-3,-0.028510877741,0.9938594755730,-0.106887679432,0.9938594755730,-0.106887679432,-3.781632475e-3,-0.028355214625
544.3000000000000,-2.337165356e-3,-0.028532703817,0.9938549550407,-0.106923819376,0.9938549550407,-0.106923819376,-3.785497074e-3,-0.028376884702
544.4000000000000,-2.340134701e-3,-0.028554995003,0.9938503692185,-0.106960423442,0.9938503692185,-0.106960423442,-3.789432824e-3,-0.028399017822
544.5000000000000,-2.343165539e-3,-0.028577770833,0.9938457153549,-0.106997511124,0.9938457153549,-0.106997511124,-3.793442728e-3,-0.028421633435
544.6000000000000,-2.346260511e-3,-0.028601051954,0.9938409905406,-0.107035103022,0.9938409905406,-0.107035103022,-3.797529964e-3,-0.028444752094
544.6999999999999,-2.349422411e-3,-0.028624860198,0.9938361916971,-0.107073220924,0.9938361916971,-0.107073220924,-3.801697893e-3,-0.028468395536
544.8000000000000,-2.352654199e-3,-0.028649218676,0.9938313155642,-0.107111887891,0.9938313155642,-0.107111887891,-3.805950074e-3,-0.028492586770
