 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: cap2gnd_10umfromedge
 Data is De-embedded 
 Data File Written: 01/25/2020 18:01:40
Project Date: 01/24/2020 17:33:00
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11]
gpwidth = 700.0
dist2capedge = 690.0
100.0000000000000,6.583614099e-12,1.5304772503e-5
105.0000000000000,1.172493734e-11,1.6069803243e-5
110.0000000000000,1.678833624e-11,1.6834837763e-5
115.0000000000000,2.177416611e-11,1.7599876067e-5
120.0000000000000,2.668278005e-11,1.8364918158e-5
125.0000000000000,3.151453778e-11,1.9129964041e-5
130.0000000000000,3.626979346e-11,1.9895013717e-5
135.0000000000000,4.094891009e-11,2.0660067192e-5
140.0000000000000,4.555224403e-11,2.1425124467e-5
145.0000000000000,5.008015159e-11,2.2190185547e-5
150.0000000000000,5.453299684e-11,2.2955250435e-5
155.0000000000000,5.891113717e-11,2.3720319134e-5
160.0000000000000,6.321493553e-11,2.4485391648e-5
165.0000000000000,6.744475258e-11,2.5250467979e-5
170.0000000000000,7.160095011e-11,2.6015548132e-5
175.0000000000000,7.568388766e-11,2.6780632110e-5
180.0000000000000,7.969393031e-11,2.7545719917e-5
185.0000000000000,8.363144311e-11,2.8310811554e-5
190.0000000000000,8.749678888e-11,2.9075907027e-5
195.0000000000000,9.129033041e-11,2.9841006338e-5
200.0000000000000,9.501243051e-11,3.0606109491e-5
205.0000000000000,9.866346191e-11,3.1371216490e-5
210.0000000000000,1.022437840e-10,3.2136327337e-5
215.0000000000000,1.057537674e-10,3.2901442035e-5
220.0000000000000,1.091937736e-10,3.3666560590e-5
225.0000000000000,1.125641742e-10,3.4431683003e-5
230.0000000000000,1.158653374e-10,3.5196809278e-5
235.0000000000000,1.190976293e-10,3.5961939419e-5
240.0000000000000,1.222614224e-10,3.6727073429e-5
245.0000000000000,1.253570827e-10,3.7492211311e-5
250.0000000000000,1.283849829e-10,3.8257353069e-5
255.0000000000000,1.313454911e-10,3.9022498706e-5
260.0000000000000,1.342389798e-10,3.9787648225e-5
265.0000000000000,1.370658204e-10,4.0552801631e-5
270.0000000000000,1.398263856e-10,4.1317958926e-5
275.0000000000000,1.425210456e-10,4.2083120113e-5
280.0000000000000,1.451501774e-10,4.2848285197e-5
285.0000000000000,1.477141523e-10,4.3613454181e-5
290.0000000000000,1.502133440e-10,4.4378627067e-5
295.0000000000000,1.526481281e-10,4.5143803859e-5
300.0000000000000,1.550188805e-10,4.5908984562e-5
305.0000000000000,1.573259792e-10,4.6674169177e-5
310.0000000000000,1.595697932e-10,4.7439357709e-5
315.0000000000000,1.617507049e-10,4.8204550161e-5
320.0000000000000,1.638690900e-10,4.8969746536e-5
325.0000000000000,1.659253264e-10,4.9734946838e-5
330.0000000000000,1.679197921e-10,5.0500151069e-5
335.0000000000000,1.698528682e-10,5.1265359235e-5
340.0000000000000,1.717249315e-10,5.2030571337e-5
345.0000000000000,1.735363631e-10,5.2795787379e-5
