 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: cap_273_full
 Data is De-embedded 
 Data File Written: 09/07/2018 23:09:25
< -> ,Created by dxfgeo, Sonnet Software Inc.
Project Date: 09/05/2018 17:37:29
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33]
200.0000000000000,1.5063928509e-6,3.8247428955e-4,-6.196638394e-7,-1.761386695e-4,-4.502396093e-7,-1.219110304e-4,-6.196638394e-7,-1.761386695e-4,1.4330361042e-5,-0.219945281794,-9.503317520e-6,0.2208035115783,-4.502396093e-7,-1.219110304e-4,-9.503317521e-6,0.2208035115783,1.4432943601e-5,-0.219918068001
202.0000000000000,1.5146643460e-6,3.8630475924e-4,-6.231143208e-7,-1.779125616e-4,-4.527382974e-7,-1.231296267e-4,-6.231143208e-7,-1.779125616e-4,1.4407433815e-5,-0.217685718701,-9.554358605e-6,0.2185525540085,-4.527382974e-7,-1.231296267e-4,-9.554358605e-6,0.2185525540085,1.4511629937e-5,-0.217658231661
204.0000000000000,1.5229365872e-6,3.9013540016e-4,-6.265789106e-7,-1.796867525e-4,-4.552244320e-7,-1.243482927e-4,-6.265789106e-7,-1.796867525e-4,1.4484234021e-5,-0.215469646326,-9.604979998e-6,0.2163450874757,-4.552244320e-7,-1.243482927e-4,-9.604979998e-6,0.2163450874757,1.4589782562e-5,-0.215441885200
206.0000000000000,1.5312098980e-6,3.9396621503e-4,-6.300547281e-7,-1.814612529e-4,-4.577010778e-7,-1.255670209e-4,-6.300547281e-7,-1.814612529e-4,1.4560888569e-5,-0.213295796834,-9.655327592e-6,0.2141798441810,-4.577010778e-7,-1.255670209e-4,-9.655327592e-6,0.2141798441810,1.4667565372e-5,-0.213267760845
208.0000000000000,1.5394842737e-6,3.9779720558e-4,-6.335392599e-7,-1.832360730e-4,-4.601709279e-7,-1.267858039e-4,-6.335392599e-7,-1.832360730e-4,1.4637497393e-5,-0.211162951146,-9.705518642e-6,0.2120556050815,-4.601709279e-7,-1.267858039e-4,-9.705518642e-6,0.2120556050815,1.4745111951e-5,-0.211134639579
210.0000000000000,1.5477597107e-6,4.0162837352e-4,-6.370303280e-7,-1.850112228e-4,-4.626363219e-7,-1.280046351e-4,-6.370303280e-7,-1.850112228e-4,1.4714146295e-5,-0.209069936623,-9.755654622e-6,0.2099711975717,-4.626363219e-7,-1.280046351e-4,-9.755654622e-6,0.2099711975717,1.4822538437e-5,-0.209041348818
212.0000000000000,1.5560362058e-6,4.0545972060e-4,-6.405260618e-7,-1.867867116e-4,-4.650992753e-7,-1.292235079e-4,-6.405260618e-7,-1.867867116e-4,1.4790908433e-5,-0.207015624875,-9.805822832e-6,0.2079254932937,-4.650992753e-7,-1.292235079e-4,-9.805822832e-6,0.2079254932937,1.4899945251e-5,-0.206986760226
214.0000000000000,1.5643137562e-6,4.0929124854e-4,-6.440248717e-7,-1.885625487e-4,-4.675615063e-7,-1.304424165e-4,-6.440248717e-7,-1.885625487e-4,1.4867845652e-5,-0.204998929693,-9.856097840e-6,0.2059174060683,-4.675615063e-7,-1.304424165e-4,-9.856097840e-6,0.2059174060683,1.4977418656e-5,-0.204969787642
216.0000000000000,1.5725923598e-6,4.1312295907e-4,-6.475254247e-7,-1.903387427e-4,-4.700244615e-7,-1.316613551e-4,-6.475254247e-7,-1.903387427e-4,1.4945009710e-5,-0.203018805095,-9.906542815e-6,0.2039458899424,-4.700244615e-7,-1.316613551e-4,-9.906542815e-6,0.2039458899424,1.5055032197e-5,-0.202989385131
218.0000000000000,1.5808720148e-6,4.1695485392e-4,-6.510266206e-7,-1.921153021e-4,-4.724893402e-7,-1.328803186e-4,-6.510266206e-7,-1.921153021e-4,1.5022443377e-5,-0.201074243481,-9.957210719e-6,0.2020099373433,-4.724893402e-7,-1.328803186e-4,-9.957210719e-6,0.2020099373433,1.5132847997e-5,-0.201044545135
220.0000000000000,1.5891527201e-6,4.2078693482e-4,-6.545275713e-7,-1.938922350e-4,-4.749571165e-7,-1.340993020e-4,-6.545275713e-7,-1.938922350e-4,1.5100181438e-5,-0.199164273888,-1.000814541e-5,0.2001085773337,-4.749571165e-7,-1.340993020e-4,-1.000814541e-5,0.2001085773337,1.5210917951e-5,-0.199134296732
222.0000000000000,1.5974344748e-6,4.2461920349e-4,-6.580275794e-7,-1.956695491e-4,-4.774285609e-7,-1.353183008e-4,-6.580275794e-7,-1.956695491e-4,1.5178251614e-5,-0.197287960339,-1.005938264e-5,0.1982408739615,-4.774285609e-7,-1.353183008e-4,-1.005938264e-5,0.1982408739615,1.5289284819e-5,-0.197257703982
224.0000000000000,1.6057172786e-6,4.2845166167e-4,-6.615261201e-7,-1.974472519e-4,-4.799042599e-7,-1.365373106e-4,-6.615261201e-7,-1.974472519e-4,1.5256675376e-5,-0.195444400282,-1.011095095e-5,0.1964059246975,-4.799042599e-7,-1.365373106e-4,-1.011095095e-5,0.1964059246975,1.5367983207e-5,-0.195413864367
226.0000000000000,1.6140011314e-6,4.3228431107e-4,-6.650228231e-7,-1.992253507e-4,-4.823846343e-7,-1.377563276e-4,-6.650228231e-7,-1.992253507e-4,1.5335468698e-5,-0.193632723109,-1.016287251e-5,0.1946028589562,-4.823846343e-7,-1.377563276e-4,-1.016287251e-5,0.1946028589562,1.5447040475e-5,-0.193601907311
228.0000000000000,1.6222860337e-6,4.3611715344e-4,-6.685174557e-7,-2.010038522e-4,-4.848699572e-7,-1.389753480e-4,-6.685174557e-7,-2.010038522e-4,1.5414642736e-5,-0.191852088757,-1.021516387e-5,0.1928308366949,-4.848699572e-7,-1.389753480e-4,-1.021516387e-5,0.1928308366949,1.5526477562e-5,-0.191820992781
230.0000000000000,1.6305719862e-6,4.3995019049e-4,-6.720099081e-7,-2.027827633e-4,-4.873603693e-7,-1.401943685e-4,-6.720099081e-7,-2.027827633e-4,1.5494204435e-5,-0.190101686376,-1.026783662e-5,0.1910890470850,-4.873603693e-7,-1.401943685e-4,-1.026783662e-5,0.1910890470850,1.5606309723e-5,-0.190070309955
232.0000000000000,1.6388589899e-6,4.4378342396e-4,-6.755001782e-7,-2.045620903e-4,-4.898558951e-7,-1.414133860e-4,-6.755001782e-7,-2.045620903e-4,1.5574157092e-5,-0.188380733076,-1.032089800e-5,0.1893767072532,-4.898558951e-7,-1.414133860e-4,-1.032089800e-5,0.1893767072532,1.5686547227e-5,-0.188349075967
234.0000000000000,1.6471466471e-6,4.4761685444e-4,-6.789883688e-7,-2.063418395e-4,-4.923564658e-7,-1.426323975e-4,-6.789883688e-7,-2.063418395e-4,1.5654499924e-5,-0.186688472725,-1.037435071e-5,0.1876930610866,-4.923564658e-7,-1.426323975e-4,-1.037435071e-5,0.1876930610866,1.5767195288e-5,-0.186656534707
236.0000000000000,1.6554361571e-6,4.5145048706e-4,-6.824746245e-7,-2.081220168e-4,-4.948618843e-7,-1.438514005e-4,-6.824746245e-7,-2.081220168e-4,1.5735233129e-5,-0.185024174818,-1.042819734e-5,0.1860373780976,-4.948618843e-7,-1.438514005e-4,-1.042819734e-5,0.1860373780976,1.5848257992e-5,-0.184991955694
238.0000000000000,1.6637263243e-6,4.5528432015e-4,-6.859592212e-7,-2.099026279e-4,-4.973719346e-7,-1.450703925e-4,-6.859592212e-7,-2.099026279e-4,1.5816349091e-5,-0.183387133404,-1.048243291e-5,0.1844089523491,-4.973719346e-7,-1.450703925e-4,-1.048243291e-5,0.1844089523491,1.5929732101e-5,-0.183354632993
240.0000000000000,1.6720175502e-6,4.5911835656e-4,-6.894424544e-7,-2.116836785e-4,-4.998862957e-7,-1.462893713e-4,-6.894424544e-7,-2.116836785e-4,1.5897841935e-5,-0.181776666054,-1.053705320e-5,0.1828071014295,-4.998862957e-7,-1.462893713e-4,-1.053705320e-5,0.1828071014295,1.6011614208e-5,-0.181743884194
242.0000000000000,1.6803098373e-6,4.6295259803e-4,-6.929246798e-7,-2.134651740e-4,-5.024046007e-7,-1.475083349e-4,-6.929246798e-7,-2.134651740e-4,1.5979703268e-5,-0.180192112897,-1.059205118e-5,0.1812311654815,-5.024046007e-7,-1.475083349e-4,-1.059205118e-5,0.1812311654815,1.6093897822e-5,-0.180159049442
244.0000000000000,1.6886031886e-6,4.6678704629e-4,-6.964062942e-7,-2.152471195e-4,-5.049264372e-7,-1.487272815e-4,-6.964062942e-7,-2.152471195e-4,1.6061923380e-5,-0.178632835692,-1.064741813e-5,0.1796805062773,-5.049264372e-7,-1.487272815e-4,-1.064741813e-5,0.1796805062773,1.6176574399e-5,-0.178599490508
246.0000000000000,1.6968976072e-6,4.7062170306e-4,-6.998877270e-7,-2.170295202e-4,-5.074513556e-7,-1.499462095e-4,-6.998877270e-7,-2.170295202e-4,1.6144491520e-5,-0.177098216948,-1.070314393e-5,0.1781545063395,-5.074513556e-7,-1.499462095e-4,-1.070314393e-5,0.1781545063395,1.6259633699e-5,-0.177064589915
248.0000000000000,1.7051930963e-6,4.7445657008e-4,-7.033694326e-7,-2.188123808e-4,-5.099788776e-7,-1.511651175e-4,-7.033694326e-7,-2.188123808e-4,1.6227396115e-5,-0.175587659090,-1.075921735e-5,0.1766525681041,-5.099788776e-7,-1.511651175e-4,-1.075921735e-5,0.1766525681041,1.6343064084e-5,-0.175553750097
250.0000000000000,1.7134896595e-6,4.7829164907e-4,-7.068518834e-7,-2.205957063e-4,-5.125085040e-7,-1.523840041e-4,-7.068518834e-7,-2.205957063e-4,1.6310624993e-5,-0.174100583659,-1.081562626e-5,0.1751741131238,-5.125085040e-7,-1.523840041e-4,-1.081562626e-5,0.1751741131238,1.6426852796e-5,-0.174066392606
252.0000000000000,1.7217873008e-6,4.8212694177e-4,-7.103355635e-7,-2.223795012e-4,-5.150397212e-7,-1.536028681e-4,-7.103355635e-7,-2.223795012e-4,1.6394165558e-5,-0.172636430554,-1.087235790e-5,0.1737185813099,-5.150397212e-7,-1.536028681e-4,-1.087235790e-5,0.1737185813099,1.6510986212e-5,-0.172601957350
254.0000000000000,1.7300860242e-6,4.8596244990e-4,-7.138209626e-7,-2.241637700e-4,-5.175720075e-7,-1.548217087e-4,-7.138209626e-7,-2.241637700e-4,1.6478004957e-5,-0.171194657312,-1.092939900e-5,0.1722854302087,-5.175720075e-7,-1.548217087e-4,-1.092939900e-5,0.1722854302087,1.6595450061e-5,-0.171159901871
256.0000000000000,1.7383858338e-6,4.8979817519e-4,-7.173085712e-7,-2.259485171e-4,-5.201048391e-7,-1.560405249e-4,-7.173085712e-7,-2.259485171e-4,1.6562130228e-5,-0.169774738416,-1.098673603e-5,0.1708741343131,-5.201048391e-7,-1.560405249e-4,-1.098673603e-5,0.1708741343131,1.6680229628e-5,-0.169739700659
258.0000000000000,1.7466867343e-6,4.9363411938e-4,-7.207988754e-7,-2.277337468e-4,-5.226376951e-7,-1.572593159e-4,-7.207988754e-7,-2.277337468e-4,1.6646528415e-5,-0.168376164640,-1.104435530e-5,0.1694841844057,-5.226376951e-7,-1.572593159e-4,-1.104435530e-5,0.1694841844057,1.6765309923e-5,-0.168340844491
