 Sonnet Data File
 From: emgraph Version : 14.52
 From Project: capacitor_and_inductor_sim_with_coupcaps
 Data is NOT De-embedded 
 Data File Written: 06/07/2019 18:19:49
Project Date: 06/07/2019 18:04:33
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
100.0000000000000,2.5963091752e-6,2.6375365358e-4,-2.481806808e-6,-2.512988513e-4,-2.481806808e-6,-2.512988513e-4,6.0235960143e-6,6.3792678322e-4
110.0000000000000,2.6975728736e-6,2.9028172351e-4,-2.583194021e-6,-2.766715325e-4,-2.583194021e-6,-2.766715325e-4,6.1771161675e-6,7.0195708433e-4
120.0000000000000,2.7998813928e-6,3.1686548757e-4,-2.682398318e-6,-3.021456509e-4,-2.682398318e-6,-3.021456509e-4,6.2278618863e-6,7.6632724048e-4
130.0000000000000,2.9034991750e-6,3.4351846527e-4,-2.783802019e-6,-3.277376130e-4,-2.783802019e-6,-3.277376130e-4,6.2759945292e-6,8.3096530651e-4
140.0000000000000,3.0089216146e-6,3.7025815434e-4,-2.889131874e-6,-3.534721542e-4,-2.889131874e-6,-3.534721542e-4,6.3522829043e-6,8.9585603543e-4
150.0000000000000,3.1168923131e-6,3.9710794210e-4,-2.999287024e-6,-3.793850939e-4,-2.999287024e-6,-3.793850939e-4,6.4604415875e-6,9.6103094923e-4
160.0000000000000,3.2285136827e-6,4.2410015091e-4,-3.115441892e-6,-4.055275952e-4,-3.115441892e-6,-4.055275952e-4,6.5965275498e-6,0.0010265633432
170.0000000000000,3.3454885537e-6,4.5128108562e-4,-3.239800175e-6,-4.319736954e-4,-3.239800175e-6,-4.319736954e-4,6.7574550423e-6,0.0010925721579
180.0000000000000,3.4706074185e-6,4.7871985521e-4,-3.376451557e-6,-4.588340090e-4,-3.376451557e-6,-4.588340090e-4,6.9448775128e-6,0.0011592387005
190.0000000000000,3.6087583980e-6,5.0652475706e-4,-3.532939206e-6,-4.862816239e-4,-3.532939206e-6,-4.862816239e-4,7.1680752801e-6,0.0012268449243
200.0000000000000,3.7692090660e-6,5.3487609922e-4,-3.723795983e-6,-5.146042724e-4,-3.723795983e-6,-5.146042724e-4,7.4491210472e-6,0.0012958549560
210.0000000000000,3.9713804720e-6,5.6409858712e-4,-3.979587972e-6,-5.443195653e-4,-3.979587972e-6,-5.443195653e-4,7.8365080432e-6,0.0013670979251
220.0000000000000,4.2619046649e-6,5.9484289944e-4,-4.373785874e-6,-5.764641420e-4,-4.373785874e-6,-5.764641420e-4,8.4469658248e-6,0.0014422282592
230.0000000000000,4.7776101556e-6,6.2863291788e-4,-5.122276372e-6,-6.134651477e-4,-5.122276372e-6,-6.134651477e-4,9.6222705246e-6,0.0015251136201
240.0000000000000,6.0787439632e-6,6.7006879820e-4,-7.110899325e-6,-6.626487693e-4,-7.110899325e-6,-6.626487693e-4,1.2764115472e-5,0.0016274226744
250.0000000000000,1.2828751091e-5,7.4236780291e-4,-1.773340966e-5,-7.609918089e-4,-1.773340966e-5,-7.609918089e-4,2.9595733534e-5,0.0018080466258
260.0000000000000,8.5942512189e-4,3.7988687807e-4,-1.366288563e-3,-1.681836247e-4,-1.366288563e-3,-1.681836247e-4,0.0021778535071,8.8999362880e-4
270.0000000000000,1.1864559886e-5,6.1815295392e-4,-1.631943053e-5,-5.296354700e-4,-1.631943053e-5,-5.296354700e-4,2.7802557386e-5,0.0014877428912
280.0000000000000,6.2840039834e-6,6.8632473580e-4,-7.313752462e-6,-6.214119766e-4,-7.313752462e-6,-6.214119766e-4,1.3420310551e-5,0.0016579573221
290.0000000000000,5.2910250265e-6,7.2704300979e-4,-5.651396276e-6,-6.694872873e-4,-5.651396276e-6,-6.694872873e-4,1.0802440594e-5,0.0017586193744
300.0000000000000,5.0037080693e-6,7.6065623863e-4,-5.122785096e-6,-7.062581957e-4,-5.122785096e-6,-7.062581957e-4,1.0015918539e-5,0.0018413078316
310.0000000000000,4.9232443657e-6,7.9140152003e-4,-4.927748845e-6,-7.384712478e-4,-4.927748845e-6,-7.384712478e-4,9.7768342506e-6,0.0019167649178
320.0000000000000,4.9247723589e-6,8.2071257007e-4,-4.865451195e-6,-7.684095523e-4,-4.865451195e-6,-7.684095523e-4,9.7617724477e-6,0.0019886264787
330.0000000000000,4.9652134816e-6,8.4920909344e-4,-4.866408523e-6,-7.970601527e-4,-4.866408523e-6,-7.970601527e-4,9.8582792086e-6,0.0020584648963
340.0000000000000,5.0265107222e-6,8.7720284388e-4,-4.901404760e-6,-8.249197716e-4,-4.901404760e-6,-8.249197716e-4,1.0018739671e-5,0.0021270719759
350.0000000000000,5.1000233890e-6,9.0486793614e-4,-4.956412802e-6,-8.522659911e-4,-4.956412802e-6,-8.522659911e-4,1.0220090632e-5,0.0021948907044
360.0000000000000,5.1812011020e-6,9.3230939950e-4,-5.024015650e-6,-8.792664007e-4,-5.024015650e-6,-8.792664007e-4,1.0450021664e-5,0.0022621890179
370.0000000000000,5.2674654168e-6,9.5959447211e-4,-5.099993143e-6,-9.060284281e-4,-5.099993143e-6,-9.060284281e-4,1.0701475548e-5,0.0023291391231
380.0000000000000,5.3572691210e-6,9.8676830082e-4,-5.181802525e-6,-9.326243364e-4,-5.181802525e-6,-9.326243364e-4,1.0970192646e-5,0.0023958572787
390.0000000000000,5.4496399375e-6,0.0010138624164,-5.267840498e-6,-9.591047181e-4,-5.267840498e-6,-9.591047181e-4,1.1253511090e-5,0.0024624252660
400.0000000000000,5.5439432942e-6,0.0010408995869,-5.357058863e-6,-9.855062228e-4,-5.357058863e-6,-9.855062228e-4,1.1549735028e-5,0.0025289026786
410.0000000000000,5.6397517432e-6,0.0010678967346,-5.448752459e-6,-1.011856201e-3,-5.448752459e-6,-1.011856201e-3,1.1857779820e-5,0.0025953343086
420.0000000000000,5.7367695784e-6,0.0010948667619,-5.542436336e-6,-1.038175611e-3,-5.542436336e-6,-1.038175611e-3,1.2176961106e-5,0.0026617547687
430.0000000000000,5.8347875317e-6,0.0011218197351,-5.637771603e-6,-1.064480905e-3,-5.637771603e-6,-1.064480905e-3,1.2506862948e-5,0.0027281914895
440.0000000000000,5.9336545918e-6,0.0011487636736,-5.734518987e-6,-1.090785284e-3,-5.734518987e-6,-1.090785284e-3,1.2847251723e-5,0.0027946667212
450.0000000000000,6.0332599488e-6,0.0011757050919,-5.832508820e-6,-1.117099561e-3,-5.832508820e-6,-1.117099561e-3,1.3198017822e-5,0.0028611989079
460.0000000000000,6.1335211256e-6,0.0012026493785,-5.931621059e-6,-1.143432765e-3,-5.931621059e-6,-1.143432765e-3,1.3559135059e-5,0.0029278036532
470.0000000000000,6.2343760021e-6,0.0012296010679,-6.031771669e-6,-1.169792576e-3,-6.031771669e-6,-1.169792576e-3,1.3930631861e-5,0.0029944944138
480.0000000000000,6.3357773519e-6,0.0012565640379,-6.132903107e-6,-1.196185638e-3,-6.132903107e-6,-1.196185638e-3,1.4312570630e-5,0.0030612830078
490.0000000000000,6.4376886279e-6,0.0012835416567,-6.234977583e-6,-1.222617793e-3,-6.234977583e-6,-1.222617793e-3,1.4705032947e-5,0.0031281799931
500.0000000000000,6.5400833285e-6,0.0013105368945,-6.337972047e-6,-1.249094261e-3,-6.337972047e-6,-1.249094261e-3,1.5108109105e-5,0.0031951949545
510.0000000000000,6.6429389742e-6,0.0013375524041,-6.441874834e-6,-1.275619771e-3,-6.441874834e-6,-1.275619771e-3,1.5521890893e-5,0.0032623367254
520.0000000000000,6.7462398289e-6,0.0013645905899,-6.546682772e-6,-1.302198668e-3,-6.546682772e-6,-1.302198668e-3,1.5946466814e-5,0.0033296135604
530.0000000000000,6.8506135304e-6,0.0013916534102,-6.656908781e-6,-1.328832635e-3,-6.656908781e-6,-1.328832635e-3,1.5099709982e-5,0.0033977457494
540.0000000000000,6.9552131486e-6,0.0014187432409,-6.767288215e-6,-1.355528224e-3,-6.767288215e-6,-1.355528224e-3,1.4261068798e-5,0.0034660293050
550.0000000000000,7.0600687746e-6,0.0014458619868,-6.877896708e-6,-1.382289033e-3,-6.877896708e-6,-1.382289033e-3,1.3430692831e-5,0.0035344714350
560.0000000000000,7.1652074696e-6,0.0014730114561,-6.988801584e-6,-1.409118526e-3,-6.988801584e-6,-1.409118526e-3,1.2608700538e-5,0.0036030791930
570.0000000000000,7.2706540760e-6,0.0015001933812,-7.100063391e-6,-1.436020066e-3,-7.100063391e-6,-1.436020066e-3,1.1795184202e-5,0.0036718595393
580.0000000000000,7.3764318760e-6,0.0015274094371,-7.211737177e-6,-1.462996952e-3,-7.211737177e-6,-1.462996952e-3,1.0990214444e-5,0.0037408193927
590.0000000000000,7.4825631332e-6,0.0015546612556,-7.323873572e-6,-1.490052437e-3,-7.323873572e-6,-1.490052437e-3,1.0193844351e-5,0.0038099656765
600.0000000000000,7.5890695473e-6,0.0015819504389,-7.436519721e-6,-1.517189757e-3,-7.436519721e-6,-1.517189757e-3,9.4061132637e-6,0.0038793053582
610.0000000000000,7.6959726407e-6,0.0016092785709,-7.549720114e-6,-1.544412145e-3,-7.549720114e-6,-1.544412145e-3,8.6270502292e-6,0.0039488454873
620.0000000000000,7.8032940949e-6,0.0016366472268,-7.663517343e-6,-1.571722855e-3,-7.663517343e-6,-1.571722855e-3,7.8566771474e-6,0.0040185932291
630.0000000000000,7.9110560479e-6,0.0016640579828,-7.777952795e-6,-1.599125177e-3,-7.777952795e-6,-1.599125177e-3,7.0950116203e-6,0.0040885558969
640.0000000000000,8.0192813647e-6,0.0016915124243,-7.893067312e-6,-1.626622451e-3,-7.893067312e-6,-1.626622451e-3,6.3420695248e-6,0.0041587409846
650.0000000000000,8.1279938879e-6,0.0017190121539,-8.008901824e-6,-1.654218087e-3,-8.008901824e-6,-1.654218087e-3,5.5978673301e-6,0.0042291561974
660.0000000000000,8.2372186765e-6,0.0017465587992,-8.125497965e-6,-1.681915578e-3,-8.125497965e-6,-1.681915578e-3,4.8624241815e-6,0.0042998094840
670.0000000000000,8.3469822390e-6,0.0017741540203,-8.242898688e-6,-1.709718516e-3,-8.242898688e-6,-1.709718516e-3,4.1357637783e-6,0.0043707090696
680.0000000000000,8.4573127673e-6,0.0018017995177,-8.361148886e-6,-1.737630608e-3,-8.361148886e-6,-1.737630608e-3,3.4179160751e-6,0.0044418634906
690.0000000000000,8.5682403763e-6,0.0018294970396,-8.480296020e-6,-1.765655695e-3,-8.480296020e-6,-1.765655695e-3,2.7089188402e-6,0.0045132816311
700.0000000000000,8.6797973558e-6,0.0018572483902,-8.600390781e-6,-1.793797766e-3,-8.600390781e-6,-1.793797766e-3,2.0088191057e-6,0.0045849727630
710.0000000000000,8.7920184398e-6,0.0018850554383,-8.721487775e-6,-1.822060983e-3,-8.721487775e-6,-1.822060983e-3,1.3176745486e-6,0.0046569465888
