 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: capacitortank_with_coupcaps_and_gp
 Data is De-embedded 
 Data File Written: 02/17/2020 22:11:13
Project Date: 02/08/2020 14:30:32
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y14],IM[Y14],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y24],IM[Y24],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33],RE[Y34],IM[Y34],RE[Y41],IM[Y41],RE[Y42],IM[Y42],RE[Y43],IM[Y43],RE[Y44],IM[Y44]
100.0000000000000,2.1171335310e-6,-6.652806151e-5,-2.519157081e-6,-7.933933262e-5,1.1756676376e-6,6.2360409894e-6,2.6083849746e-7,-2.622115278e-7,-2.519156955e-6,-7.933933175e-5,3.9937496669e-5,0.0014003920764,-3.441994894e-5,-1.273762608e-3,-6.155180466e-6,2.5839014832e-5,1.1756688115e-6,6.2360412577e-6,-3.441994965e-5,-1.273762608e-3,3.8539615043e-5,0.0014320435680,-9.259668501e-6,-9.249984582e-5,2.6083785219e-7,-2.622117431e-7,-6.155180285e-6,2.5839014684e-5,-9.259668809e-6,-9.249984591e-5,4.6403901856e-5,-2.121104015e-5
715.0000000000000,9.2466136691e-6,8.2100581678e-4,-1.504420539e-5,-9.435020003e-4,2.0559798910e-5,4.8524045832e-5,-1.315023369e-5,-6.166701813e-6,-1.504420534e-5,-9.435020003e-4,4.2619213856e-4,0.0159824926569,-1.783201707e-4,-0.014470685060,-2.203173937e-4,-1.121740755e-4,2.0559798795e-5,4.8524045860e-5,-1.783201707e-4,-0.014470685061,2.7212367316e-4,0.0159733515508,-1.089943536e-4,-1.089269581e-3,-1.315023363e-5,-6.166701800e-6,-2.203173937e-4,-1.121740755e-4,-1.089943537e-4,-1.089269581e-3,3.2901870504e-4,0.0018864734139
735.0000000000000,1.2076587986e-5,8.5202655603e-4,-1.911942987e-5,-9.487182906e-4,9.7737404341e-7,2.6634684715e-5,3.1798957516e-6,-1.686809802e-5,-1.911942996e-5,-9.487182907e-4,2.1834053126e-4,0.0170810244943,-1.763148540e-4,-0.015672106381,-7.455003746e-6,5.7509028829e-5,9.7737402706e-7,2.6634684708e-5,-1.763148540e-4,-0.015672106381,2.1677930354e-4,0.0168632961301,-4.206230538e-5,-7.725983984e-4,3.1798957309e-6,-1.686809804e-5,-7.455003730e-6,5.7509028850e-5,-4.206230537e-5,-7.725983984e-4,4.3489161635e-5,0.0014702066763
775.0000000000000,3.1354238307e-6,9.7056662154e-4,-1.949488252e-6,-1.038712227e-3,5.1908686613e-7,5.8609127305e-6,-9.765870013e-8,7.5070709338e-7,-1.949488323e-6,-1.038712227e-3,9.6551904366e-5,0.0164340452968,-8.740386886e-5,-0.014903662484,-5.819098903e-6,1.1308022280e-5,5.1908690128e-7,5.8609126802e-6,-8.740386882e-5,-0.014903662484,8.7089675506e-5,0.0164477209394,2.0308865658e-6,-1.031515986e-3,-9.765869602e-8,7.5070711078e-7,-5.819098913e-6,1.1308022265e-5,2.0308865297e-6,-1.031515986e-3,7.0530844265e-6,0.0018088913853
815.0000000000000,7.0113164954e-6,0.0011153121873,-6.253843410e-6,-1.154820144e-3,4.6343689744e-8,8.3433854832e-7,5.0610659002e-8,1.2983056823e-6,-6.253843501e-6,-1.154820144e-3,7.3416952627e-5,0.0179977033189,-9.085965354e-5,-0.016285460713,3.2729396686e-5,-5.422790514e-5,4.6343795436e-8,8.3433870769e-7,-9.085965365e-5,-0.016285460713,2.4272495474e-4,0.0177511503858,-1.852890067e-4,-8.548892703e-4,5.0610651994e-8,1.2983056679e-6,3.2729396695e-5,-5.422790514e-5,-1.852890067e-4,-8.548892703e-4,5.6791353229e-4,0.0019579270357
820.0000000000000,5.6108432576e-6,0.0011291845466,-8.755616762e-7,-1.176713031e-3,-3.064064341e-6,1.6987406070e-5,2.1031098090e-7,1.1261052394e-6,-8.755616530e-7,-1.176713031e-3,2.5304933391e-5,0.0181363343698,-2.263693349e-5,-0.016436252606,-2.097591380e-6,5.2394896173e-6,-3.064064328e-6,1.6987405985e-5,-2.263693360e-5,-0.016436252606,3.5106929070e-5,0.0182419170980,-5.640693768e-6,-1.238021173e-3,2.1031095494e-7,1.1261052494e-6,-2.097591336e-6,5.2394895480e-6,-5.640693814e-6,-1.238021172e-3,3.3776224363e-5,0.0019452993097
825.0000000000000,7.0171596090e-6,0.0011667276347,-5.533381491e-6,-1.209659671e-3,-1.094580260e-6,1.4976978455e-5,-3.038660303e-6,9.8611568025e-7,-5.533381561e-6,-1.209659671e-3,3.5761352768e-5,0.0179961825567,-1.481268618e-5,-0.016251687317,-2.157092400e-6,1.5783397859e-5,-1.094580286e-6,1.4976978528e-5,-1.481268606e-5,-0.016251687317,7.1732645626e-5,0.0181786380607,-4.325518367e-5,-1.385040872e-3,-3.038660280e-6,9.8611569092e-7,-2.157092420e-6,1.5783397867e-5,-4.325518368e-5,-1.385040872e-3,5.4402709047e-5,0.0021546355753
830.0000000000000,1.6050770501e-5,0.0011612557172,-8.676156602e-6,-1.206034438e-3,3.1337004223e-6,1.4784303794e-5,-1.197209548e-5,1.7641772779e-5,-8.676156779e-6,-1.206034439e-3,6.5355791503e-5,0.0172886410637,-3.106563380e-5,-0.015514675678,-1.549019046e-5,-2.361963709e-5,3.1337004789e-6,1.4784303928e-5,-3.106563380e-5,-0.015514675678,2.7516098491e-4,0.0165776605519,-2.466838170e-4,-5.067310634e-4,-1.197209546e-5,1.7641772771e-5,-1.549019047e-5,-2.361963711e-5,-2.466838169e-4,-5.067310635e-4,2.7740693234e-4,0.0013218312855
835.0000000000000,5.2139274064e-6,0.0012117095204,-2.136539509e-6,-1.232168716e-3,3.8916134914e-7,1.0716194818e-5,-3.648555917e-7,9.1124236681e-7,-2.136539338e-6,-1.232168716e-3,2.8529334194e-5,0.0148306555008,-3.298577526e-5,-0.013065295052,8.4932095896e-6,9.4159346266e-7,3.8916120847e-7,1.0716194739e-5,-3.298577528e-5,-0.013065295052,7.4508516915e-5,0.0146371609527,-4.057056811e-5,-9.915532356e-4,-3.648556003e-7,9.1124241152e-7,8.4932095643e-6,9.4159346780e-7,-4.057056812e-5,-9.915532356e-4,3.5007466865e-5,0.0018205729019
840.0000000000000,6.3144113258e-5,0.0012529160853,-6.129342789e-5,-1.226161370e-3,-2.309255500e-5,-4.536248164e-5,-8.332261589e-7,4.3559234531e-6,-6.129342790e-5,-1.226161370e-3,6.1313437815e-5,-5.872318023e-3,2.2880307107e-5,0.0076191864895,7.4972456889e-6,3.0517805352e-5,-2.309255495e-5,-4.536248170e-5,2.2880307151e-5,0.0076191864896,3.1644944262e-5,-5.761116360e-3,-1.886017466e-5,-1.204563719e-3,-8.332261859e-7,4.3559234247e-6,7.4972456977e-6,3.0517805338e-5,-1.886017468e-5,-1.204563719e-3,1.5798142244e-5,0.0020121996492
845.0000000000000,1.1284796555e-5,0.0012560196272,-1.689979702e-5,-1.275629427e-3,7.6561254390e-6,4.2529570066e-5,-8.954078034e-8,-3.233893372e-6,-1.689979705e-5,-1.275629427e-3,1.5724078623e-4,0.0348906985048,-1.733764320e-4,-0.033049153977,3.5773785283e-5,-3.530281503e-5,7.6561254986e-6,4.2529570185e-5,-1.733764320e-4,-0.033049153977,2.5919147835e-4,0.0345437182772,-8.439656555e-5,-9.534714272e-4,-8.954079360e-8,-3.233893421e-6,3.5773785283e-5,-3.530281499e-5,-8.439656551e-5,-9.534714272e-4,4.5371821780e-5,0.0018626845580
855.0000000000000,1.2887797972e-5,0.0013104537474,-1.151754750e-5,-1.268158342e-3,2.7604733224e-6,1.0132614140e-5,2.5155920521e-7,1.0606415795e-6,-1.151754743e-5,-1.268158342e-3,0.0011105136480,0.0262533763734,-1.152809851e-3,-0.024470664967,-4.698691461e-7,1.8426195474e-7,2.7604732760e-6,1.0132614186e-5,-1.152809851e-3,-0.024470664967,0.0012192036067,0.0262972504670,-6.025158513e-6,-1.202140532e-3,2.5155920864e-7,1.0606415809e-6,-4.698691189e-7,1.8426197290e-7,-6.025158434e-6,-1.202140532e-3,7.7403585456e-6,0.0020808139513
