 Sonnet Data File
 From: emgraph Version : 16.56
 From Project: coupcap_and_feedline_tjunctioncpw
 Data is De-embedded 
 Data File Written: 03/04/2020 11:31:05
Project Date: 03/02/2020 11:11:36
R 50.00000
Frequency (MHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33]
100.0000000000000,2.1229336277e-9,-0.552421159166,-1.878775890e-9,0.5528879637740,-3.62244129e-11,-8.476171179e-5,-1.879224638e-9,0.5528879637733,2.1163074099e-9,-0.552435426569,-3.06955515e-11,-7.174489689e-5,-3.61235224e-11,-8.476171162e-5,-3.06544790e-11,-7.174489693e-5,7.571677194e-11,1.6664071454e-4
105.0000000000000,-1.294704054e-5,-0.525594008693,1.2966998131e-5,0.5260841492317,2.4515450252e-8,-8.898400540e-5,1.2966998131e-5,0.5260841492317,-1.298651047e-5,-0.525608962641,-2.457457647e-8,-7.535283185e-5,2.4515450252e-8,-8.898400540e-5,-2.457457647e-8,-7.535283185e-5,-5.91646353e-11,1.7497544398e-4
110.0000000000000,-2.274899863e-5,-0.501250109179,2.2785608682e-5,0.5017635889985,4.5342753134e-8,-9.320968408e-5,2.2785608682e-5,0.5017635889985,-2.282180249e-5,-0.501265753793,-4.539154544e-8,-7.895811179e-5,4.5342753135e-8,-9.320968408e-5,-4.539154544e-8,-7.895811179e-5,-1.79884867e-10,1.8331040298e-4
115.0000000000000,-3.009067691e-5,-0.479059730705,3.0141317779e-5,0.4795965529369,6.2970106155e-8,-9.743832385e-5,3.0141317779e-5,0.4795965529369,-3.019156475e-5,-0.479076069545,-6.300628417e-8,-8.256119580e-5,6.2970106155e-8,-9.743832385e-5,-6.300628417e-8,-8.256119580e-5,-2.87279115e-10,1.9164560704e-4
120.0000000000000,-3.549862790e-5,-0.458749044886,3.5561041766e-5,0.4593092124967,7.7834813331e-8,-1.016695769e-4,3.5561041766e-5,0.4593092124967,-3.562307785e-5,-0.458766081057,-7.785634998e-8,-8.616246680e-5,7.7834813331e-8,-1.016695769e-4,-7.785634998e-8,-8.616246680e-5,-3.82151437e-10,1.9998107163e-4
125.0000000000000,-3.938021739e-5,-0.440088759872,3.9452450861e-5,0.4406722756989,9.0303053607e-8,-1.059031558e-4,3.9452450861e-5,0.4406722756989,-3.952431684e-5,-0.440106496095,-9.030816975e-8,-8.976224740e-5,9.0303053606e-8,-1.059031558e-4,-9.030816975e-8,-8.976224740e-5,-4.65275102e-10,2.0831681218e-4
130.0000000000000,-4.205320477e-5,-0.422885419637,4.2133561015e-5,0.4234922864166,1.0068376012e-7,-1.101388214e-4,4.2133561015e-5,0.4234922864166,-4.221355463e-5,-0.422903858306,-1.006709190e-7,-9.336081169e-5,1.0068376012e-7,-1.101388214e-4,-1.006709190e-7,-9.336081169e-5,-5.37393210e-10,2.1665284412e-4
135.0000000000000,-4.376728236e-5,-0.406974666298,4.3854282332e-5,0.4076048866946,1.0923937000e-7,-1.143763743e-4,4.3854282332e-5,0.4076048866946,-4.394091948e-5,-0.406993809538,-1.092072715e-7,-9.695839437e-5,1.0923937000e-7,-1.143763743e-4,-1.092072715e-7,-9.695839437e-5,-5.99219337e-10,2.2498918282e-4
140.0000000000000,-4.471994813e-5,-0.392215967499,4.4812298739e-5,0.3928695441205,1.1619423818e-7,-1.186156470e-4,4.4812298739e-5,0.3928695441205,-4.490428164e-5,-0.392235817197,-1.161418129e-7,-1.005551979e-4,1.1619423819e-7,-1.186156470e-4,-1.161418129e-7,-1.005551979e-4,-6.51438106e-10,2.3332584367e-4
145.0000000000000,-4.506833109e-5,-0.378488450171,4.5164898995e-5,0.3791653855889,1.2174128666e-7,-1.228564987e-4,4.5164898995e-5,0.3791653855889,-4.526108998e-5,-0.378509008014,-1.216676899e-7,-1.041513981e-4,1.2174128666e-7,-1.228564987e-4,-1.216676899e-7,-1.041513981e-4,-6.94705849e-10,2.4166284198e-4
150.0000000000000,-4.493809056e-5,-0.365687578993,4.5037880353e-5,0.3663878757541,1.2604730649e-7,-1.270988107e-4,4.5037880353e-5,0.3663878757541,-4.513728002e-5,-0.365708846495,-1.259519119e-7,-1.077471488e-4,1.2604730649e-7,-1.270988107e-4,-1.259519119e-7,-1.077471488e-4,-7.29651215e-10,2.5000019308e-4
155.0000000000000,-4.443017578e-5,-0.353722486266,4.4532311763e-5,0.3544461469035,1.2925722055e-7,-1.313424829e-4,4.4532311763e-5,0.3544461469035,-4.463404074e-5,-0.353744464788,-1.291396140e-7,-1.113425853e-4,1.2925722055e-7,-1.313424829e-4,-1.291396140e-7,-1.113425853e-4,-7.56875816e-10,2.5833791225e-4
160.0000000000000,-4.362600462e-5,-0.342513808875,4.3729715437e-5,0.3432608359194,1.3149753730e-7,-1.355874305e-4,4.3729715437e-5,0.3432608359194,-4.383299902e-5,-0.342536499648,-1.313575099e-7,-1.149378273e-4,1.3149753730e-7,-1.355874305e-4,-1.313575099e-7,-1.149378273e-4,-7.76954828e-10,2.6667601474e-4
165.0000000000000,-4.259146270e-5,-0.331991923435,4.2696068346e-5,0.3327623194232,1.3287916906e-7,-1.398335820e-4,4.2696068346e-5,0.3327623194232,-4.280022348e-5,-0.332015327575,-1.327167110e-7,-1.185329814e-4,1.3287916906e-7,-1.398335820e-4,-1.327167110e-7,-1.185329814e-4,-7.90437642e-10,2.7501451579e-4
170.0000000000000,-4.138001448e-5,-0.322095496654,4.1484915224e-5,0.3228892641338,1.3349974727e-7,-1.440808771e-4,4.1484915224e-5,0.3228892641338,-4.158933942e-5,-0.322119615176,-1.333150407e-7,-1.221281430e-4,1.3349974727e-7,-1.440808771e-4,-1.333150407e-7,-1.221281430e-4,-7.97848490e-10,2.8335343060e-4
175.0000000000000,-4.003514015e-5,-0.312770287117,4.0139807081e-5,0.3135874286543,1.3344553646e-7,-1.483292650e-4,4.0139807081e-5,0.3135874286543,-4.024396894e-5,-0.312795120945,-1.332389487e-7,-1.257233978e-4,1.3344553646e-7,-1.483292650e-4,-1.332389487e-7,-1.257233978e-4,-7.99687051e-10,2.9169277436e-4
180.0000000000000,-3.859225667e-5,-0.303968149057,3.8696223547e-5,0.3048086672418,1.3279302580e-7,-1.525787032e-4,3.8696223547e-5,0.3048086672418,-3.879965460e-5,-0.303993699038,-1.325651021e-7,-1.293188236e-4,1.3279302580e-7,-1.525787032e-4,-1.325651021e-7,-1.293188236e-4,-7.96429097e-10,3.0003256222e-4
185.0000000000000,-3.708024115e-5,-0.295646199472,3.7183097377e-5,0.2965100969214,1.3161025983e-7,-1.568291563e-4,3.7183097377e-5,0.2965100969214,-3.728538507e-5,-0.295672466381,-1.313617166e-7,-1.329144907e-4,1.3161025983e-7,-1.568291563e-4,-1.313617166e-7,-1.329144907e-4,-7.88527099e-10,3.0837280932e-4
190.0000000000000,-3.552264566e-5,-0.287766118168,3.5624030176e-5,0.2886533975315,1.2995795702e-7,-1.610805950e-4,3.5624030176e-5,0.2886533975315,-3.572481173e-5,-0.287793102720,-1.296896742e-7,-1.365104635e-4,1.2995795702e-7,-1.610805950e-4,-1.296896742e-7,-1.365104635e-4,-7.76410859e-10,3.1671353075e-4
195.0000000000000,-3.393867087e-5,-0.280293556626,3.4038266865e-5,0.2812042205865,1.2789045453e-7,-1.653329953e-4,3.4038266865e-5,0.2812042205865,-3.413722397e-5,-0.280321259479,-1.276034685e-7,-1.401068010e-4,1.2789045453e-7,-1.653329953e-4,-1.276034685e-7,-1.401068010e-4,-7.60488100e-10,3.2505474159e-4
200.0000000000000,-3.234395035e-5,-0.273197636442,3.2441480615e-5,0.2741316877223,1.2545650995e-7,-1.695863380e-4,3.2441480615e-5,0.2741316877223,-3.253833479e-5,-0.273226058204,-1.251520058e-7,-1.437035575e-4,1.2545650994e-7,-1.695863380e-4,-1.251520058e-7,-1.437035575e-4,-7.41145105e-10,3.3339645690e-4
205.0000000000000,-3.075118507e-5,-0.266450521911,3.0846407912e-5,0.2674079632734,1.2269998462e-7,-1.738406079e-4,3.0846407912e-5,0.2674079632734,-3.094091639e-5,-0.266479663145,-1.223792890e-7,-1.473007833e-4,1.2269998462e-7,-1.738406079e-4,-1.223792890e-7,-1.473007833e-4,-7.18747329e-10,3.4173869171e-4
210.0000000000000,-2.917065892e-5,-0.260027054258,2.9263364595e-5,0.2610078885075,1.1966042850e-7,-1.780957935e-4,2.9263364595e-5,0.2610078885075,-2.935531676e-5,-0.260056915488,-1.193250017e-7,-1.508985249e-4,1.1966042850e-7,-1.780957935e-4,-1.193250017e-7,-1.508985249e-4,-6.93639968e-10,3.5008146102e-4
215.0000000000000,-2.761065924e-5,-0.253904437397,2.7700666779e-5,0.2549086673843,1.1637358276e-7,-1.823518863e-4,2.7700666779e-5,0.2549086673843,-2.778988099e-5,-0.253935019111,-1.160250112e-7,-1.544968259e-4,1.1637358276e-7,-1.823518863e-4,-1.160250112e-7,-1.544968259e-4,-6.66148585e-10,3.5842477982e-4
220.0000000000000,-2.607782104e-5,-0.248061966943,2.6164975471e-5,0.2490895955646,1.1287181322e-7,-1.866088808e-4,2.6164975471e-5,0.2490895955646,-2.625129625e-5,-0.248093269595,-1.125118015e-7,-1.580957270e-4,1.1287181322e-7,-1.866088808e-4,-1.125118015e-7,-1.580957270e-4,-6.36579726e-10,3.6676866305e-4
225.0000000000000,-2.457740986e-5,-0.242480795680,2.4661579688e-5,0.2435318258809,1.0918448558e-7,-1.908667739e-4,2.4661579688e-5,0.2435318258809,-2.474487519e-5,-0.242512819695,-1.088148490e-7,-1.616952662e-4,1.0918448558e-7,-1.908667739e-4,-1.088148490e-7,-1.616952662e-4,-6.05221473e-10,3.7511312564e-4
230.0000000000000,-2.311355477e-5,-0.237143729897,2.3194629772e-5,0.2382181646716,1.0533829142e-7,-1.951255646e-4,2.3194629772e-5,0.2382181646716,-2.327478960e-5,-0.237176475673,-1.049609479e-7,-1.652954796e-4,1.0533829142e-7,-1.951255646e-4,-1.049609479e-7,-1.652954796e-4,-5.72344067e-10,3.8345818252e-4
235.0000000000000,-2.168944100e-5,-0.232035051948,2.1767330252e-5,0.2331328943416,1.0135753215e-7,-1.993852542e-4,2.1767330252e-5,0.2331328943416,-2.184426345e-5,-0.232068519859,-1.009744944e-7,-1.688964011e-4,1.0135753215e-7,-1.993852542e-4,-1.009744944e-7,-1.688964011e-4,-5.38200445e-10,3.9180384855e-4
240.0000000000000,-2.030746957e-5,-0.227140365182,2.0382099664e-5,0.2282616182923,9.7264367319e-8,-2.036458453e-4,2.0382099664e-5,0.2282616182923,-2.045573291e-5,-0.227174555581,-9.687773487e-8,-1.724980631e-4,9.7264367319e-8,-2.036458453e-4,-9.687773487e-8,-1.724980631e-4,-5.03026882e-10,4.0015013860e-4
245.0000000000000,-1.896938991e-5,-0.222446458021,1.9040703357e-5,0.2235911249989,9.3079032334e-8,-2.079073426e-4,1.9040703357e-5,0.2235911249989,-1.911097940e-5,-0.222481371240,-9.269098356e-8,-1.761004962e-4,9.3079032334e-8,-2.079073426e-4,-9.269098355e-8,-1.761004962e-4,-4.67043515e-10,4.0849706751e-4
