VER : 2,,././simple_cap_withGP_702um_verticalslice.csv
emvu,16.56, Exported Data from:,simple_cap_withGP
Frequency:,4.9e+08
Drive:,Port 1,V,1,P,0,Port 2,V,-1,P,0,
theLevel:,0,0
Export Positions in:,UM,1e-06
Export Steps:,1,UM, by,1,UM,Area,1,MKS Area,1e-12,m^2
JXY Magnitude,Complex Form,Amps/Meter
X Directed
Y Position
X Position ->,702.000000
1199.50000, -0.0184693 -0.02859815j
1198.50000, -0.0184693 -0.02859815j
1197.50000, -0.0184693 -0.02859815j
1196.50000, -0.0184693 -0.02859815j
1195.50000, -0.0184693 -0.02859815j
1194.50000, -0.0184693 -0.02859815j
1193.50000, -0.0184693 -0.02859815j
1192.50000, -0.0184693 -0.02859815j
1191.50000, -0.0184693 -0.02859815j
1190.50000, -0.0184693 -0.02859815j
1189.50000, -0.0184693 -0.02859815j
1188.50000, -0.0184693 -0.02859815j
1187.50000, -0.0184693 -0.02859815j
1186.50000, -0.0184693 -0.02859815j
1185.50000, -0.0184693 -0.02859815j
1184.50000, -0.0184693 -0.02859815j
1183.50000, -0.0184693 -0.02859815j
1182.50000, -0.0184693 -0.02859815j
1181.50000, -0.0184693 -0.02859815j
1180.50000, -0.0184693 -0.02859815j
1179.50000, -0.0184693 -0.02859815j
1178.50000, -0.0184693 -0.02859815j
1177.50000, -0.0184693 -0.02859815j
1176.50000, -0.0184693 -0.02859815j
1175.50000, -0.0184693 -0.02859815j
1174.50000, -0.0184693 -0.02859815j
1173.50000, -0.0184693 -0.02859815j
1172.50000, -0.0184693 -0.02859815j
1171.50000, -0.0184693 -0.02859815j
1170.50000, -0.0184693 -0.02859815j
1169.50000, -0.0184693 -0.02859815j
1168.50000, -0.0184693 -0.02859815j
1167.50000, -0.0184693 -0.02859815j
1166.50000, -0.0184693 -0.02859815j
1165.50000, -0.0184693 -0.02859815j
1164.50000, -0.0184693 -0.02859815j
1163.50000, -0.0184693 -0.02859815j
1162.50000, -0.0184693 -0.02859815j
1161.50000, -0.0184693 -0.02859815j
1160.50000, -0.0184693 -0.02859815j
1159.50000, -0.0184693 -0.02859815j
1158.50000, -0.0184693 -0.02859815j
1157.50000, -0.0184693 -0.02859815j
1156.50000, -0.0184693 -0.02859815j
1155.50000, -0.0184693 -0.02859815j
1154.50000, -0.0184693 -0.02859815j
1153.50000, -0.0184693 -0.02859815j
1152.50000, -0.0184693 -0.02859815j
1151.50000, -0.0184693 -0.02859815j
1150.50000, -0.0184693 -0.02859815j
1149.50000, -0.0184693 -0.02859815j
1148.50000, -0.0184693 -0.02859815j
1147.50000, -0.0184693 -0.02859815j
1146.50000, -0.0184693 -0.02859815j
1145.50000, -0.0184693 -0.02859815j
1144.50000, -0.0184693 -0.02859815j
1143.50000, -0.0184693 -0.02859815j
1142.50000, -0.0184693 -0.02859815j
1141.50000, -0.0184693 -0.02859815j
1140.50000, -0.0184693 -0.02859815j
1139.50000, -0.0184693 -0.02859815j
1138.50000, -0.0184693 -0.02859815j
1137.50000, -0.0184693 -0.02859815j
1136.50000, -0.0184693 -0.02859815j
1135.50000, -0.0184693 -0.02859815j
1134.50000, -0.0184693 -0.02859815j
1133.50000, -0.0184693 -0.02859815j
1132.50000, -0.0184693 -0.02859815j
1131.50000, -0.0184693 -0.02859815j
1130.50000, -0.0184693 -0.02859815j
1129.50000, -0.0184693 -0.02859815j
1128.50000, -0.0184693 -0.02859815j
1127.50000, -0.0184693 -0.02859815j
1126.50000, -0.0184693 -0.02859815j
1125.50000, -0.0184693 -0.02859815j
1124.50000, -0.0184693 -0.02859815j
1123.50000, -0.0184693 -0.02859815j
1122.50000, -0.0184693 -0.02859815j
1121.50000, -0.0184693 -0.02859815j
1120.50000, -0.0184693 -0.02859815j
1119.50000, -0.0184693 -0.02859815j
1118.50000, -0.0184693 -0.02859815j
1117.50000, -0.0184693 -0.02859815j
1116.50000, -0.0184693 -0.02859815j
1115.50000, -0.0184693 -0.02859815j
1114.50000, -0.0184693 -0.02859815j
1113.50000, -0.0184693 -0.02859815j
1112.50000, -0.0184693 -0.02859815j
1111.50000, -0.0184693 -0.02859815j
1110.50000, -0.0184693 -0.02859815j
1109.50000, -0.0184693 -0.02859815j
1108.50000, -0.0184693 -0.02859815j
1107.50000, -0.0184693 -0.02859815j
1106.50000, -0.0184693 -0.02859815j
1105.50000, -0.0184693 -0.02859815j
1104.50000, -0.0184693 -0.02859815j
1103.50000, -0.0184693 -0.02859815j
1102.50000, -0.0184693 -0.02859815j
1101.50000, -0.0184693 -0.02859815j
1100.50000, -0.0184693 -0.02859815j
1099.50000, -0.0315839 -0.03870489j
1098.50000, -0.0315839 -0.03870489j
1097.50000, -0.0315839 -0.03870489j
1096.50000, -0.0315839 -0.03870489j
1095.50000, -0.0315839 -0.03870489j
1094.50000, -0.0315839 -0.03870489j
1093.50000, -0.0315839 -0.03870489j
1092.50000, -0.0315839 -0.03870489j
1091.50000, -0.0315839 -0.03870489j
1090.50000, -0.0315839 -0.03870489j
1089.50000, -0.0315839 -0.03870489j
1088.50000, -0.0315839 -0.03870489j
1087.50000, -0.0315839 -0.03870489j
1086.50000, -0.0315839 -0.03870489j
1085.50000, -0.0315839 -0.03870489j
1084.50000, -0.0315839 -0.03870489j
1083.50000, -0.0315839 -0.03870489j
1082.50000, -0.0315839 -0.03870489j
1081.50000, -0.0315839 -0.03870489j
1080.50000, -0.0315839 -0.03870489j
1079.50000, -0.0315839 -0.03870489j
1078.50000, -0.0315839 -0.03870489j
1077.50000, -0.0315839 -0.03870489j
1076.50000, -0.0315839 -0.03870489j
1075.50000, -0.0315839 -0.03870489j
1074.50000, -0.0315839 -0.03870489j
1073.50000, -0.0315839 -0.03870489j
1072.50000, -0.0315839 -0.03870489j
1071.50000, -0.0315839 -0.03870489j
1070.50000, -0.0315839 -0.03870489j
1069.50000, -0.0315839 -0.03870489j
1068.50000, -0.0315839 -0.03870489j
1067.50000, -0.0315839 -0.03870489j
1066.50000, -0.0315839 -0.03870489j
1065.50000, -0.0315839 -0.03870489j
1064.50000, -0.0315839 -0.03870489j
1063.50000, -0.0315839 -0.03870489j
1062.50000, -0.0315839 -0.03870489j
1061.50000, -0.0315839 -0.03870489j
1060.50000, -0.0315839 -0.03870489j
1059.50000, -0.0315839 -0.03870489j
1058.50000, -0.0315839 -0.03870489j
1057.50000, -0.0315839 -0.03870489j
1056.50000, -0.0315839 -0.03870489j
1055.50000, -0.0315839 -0.03870489j
1054.50000, -0.0315839 -0.03870489j
1053.50000, -0.0315839 -0.03870489j
1052.50000, -0.0315839 -0.03870489j
1051.50000, -0.0315839 -0.03870489j
1050.50000, -0.0315839 -0.03870489j
1049.50000, -0.0315839 -0.03870489j
1048.50000, -0.0315839 -0.03870489j
1047.50000, -0.0315839 -0.03870489j
1046.50000, -0.0315839 -0.03870489j
1045.50000, -0.0315839 -0.03870489j
1044.50000, -0.0315839 -0.03870489j
1043.50000, -0.0315839 -0.03870489j
1042.50000, -0.0315839 -0.03870489j
1041.50000, -0.0315839 -0.03870489j
1040.50000, -0.0318305 -0.03780846j
1039.50000, -0.0318305 -0.03780846j
1038.50000, -0.0318305 -0.03780846j
1037.50000, -0.0318305 -0.03780846j
1036.50000, -0.0318305 -0.03780846j
1035.50000, -0.0318305 -0.03780846j
1034.50000, -0.0318305 -0.03780846j
1033.50000, -0.0318305 -0.03780846j
1032.50000, -0.0318305 -0.03780846j
1031.50000, -0.0318305 -0.03780846j
1030.50000, -0.0318305 -0.03780846j
1029.50000, -0.0318305 -0.03780846j
1028.50000, -0.0318305 -0.03780846j
1027.50000, -0.0318305 -0.03780846j
1026.50000, -0.0318305 -0.03780846j
1025.50000, -0.0318305 -0.03780846j
1024.50000, -0.0318305 -0.03780846j
1023.50000, -0.0318305 -0.03780846j
1022.50000, -0.0318305 -0.03780846j
1021.50000, -0.0318305 -0.03780846j
1020.50000, -0.0318305 -0.03780846j
1019.50000, -0.0318305 -0.03780846j
1018.50000, -0.0318305 -0.03780846j
1017.50000, -0.0318305 -0.03780846j
1016.50000, -0.0318305 -0.03780846j
1015.50000, -0.0318305 -0.03780846j
1014.50000, -0.0318305 -0.03780846j
1013.50000, -0.0318305 -0.03780846j
1012.50000, -0.0318305 -0.03780846j
1011.50000, -0.0318305 -0.03780846j
1010.50000, -0.0318305 -0.03780846j
1009.50000, -0.0318305 -0.03780846j
1008.50000, -0.0318305 -0.03780846j
1007.50000, -0.0318305 -0.03780846j
1006.50000, -0.0318305 -0.03780846j
1005.50000, -0.0318305 -0.03780846j
1004.50000, -0.0318305 -0.03780846j
1003.50000, -0.0318305 -0.03780846j
1002.50000, -0.0318305 -0.03780846j
1001.50000, -0.0318305 -0.03780846j
1000.50000, -0.0318305 -0.03780846j
999.500000, -0.0318305 -0.03780846j
998.500000, -0.0318305 -0.03780846j
997.500000, -0.0318305 -0.03780846j
996.500000, -0.0318305 -0.03780846j
995.500000, -0.0318305 -0.03780846j
994.500000, -0.0318305 -0.03780846j
993.500000, -0.0318305 -0.03780846j
992.500000, -0.0318305 -0.03780846j
991.500000, -0.0318305 -0.03780846j
990.500000, -0.0318305 -0.03780846j
989.500000, -0.0318305 -0.03780846j
988.500000, -0.0318305 -0.03780846j
987.500000, -0.0318305 -0.03780846j
986.500000, -0.0318305 -0.03780846j
985.500000, -0.0318305 -0.03780846j
984.500000, -0.0318305 -0.03780846j
983.500000, -0.0318305 -0.03780846j
982.500000, -0.0318305 -0.03780846j
981.500000, -0.1541553 -0.18490444j
980.500000, -0.1541553 -0.18490444j
979.500000, -0.1541553 -0.18490444j
978.500000, -0.1541553 -0.18490444j
977.500000, -0.1541553 -0.18490444j
976.500000, -0.1541553 -0.18490444j
975.500000, -0.1541553 -0.18490444j
974.500000, -0.1541553 -0.18490444j
973.500000, -0.1541553 -0.18490444j
972.500000, -0.1541553 -0.18490444j
971.500000, -0.1541553 -0.18490444j
970.500000, -0.1541553 -0.18490444j
969.500000, -0.1541553 -0.18490444j
968.500000, -0.1541553 -0.18490444j
967.500000, -0.1541553 -0.18490444j
966.500000, -0.1541553 -0.18490444j
965.500000, -0.1541553 -0.18490444j
964.500000, -0.1541553 -0.18490444j
963.500000, -0.1541553 -0.18490444j
962.500000, -0.1541553 -0.18490444j
961.500000, -0.1541553 -0.18490444j
960.500000, -0.1541553 -0.18490444j
959.500000, -0.1541553 -0.18490444j
958.500000, -0.1541553 -0.18490444j
957.500000, -0.1541553 -0.18490444j
956.500000, -0.1541553 -0.18490444j
955.500000, -0.1541553 -0.18490444j
954.500000, -0.1541553 -0.18490444j
953.500000, -0.1541553 -0.18490444j
952.500000, -0.1541553 -0.18490444j
951.500000, -0.1541553 -0.18490444j
950.500000, -0.1541553 -0.18490444j
949.500000, -0.1541553 -0.18490444j
948.500000, -0.1541553 -0.18490444j
947.500000, -0.1541553 -0.18490444j
946.500000, -0.1541553 -0.18490444j
945.500000, -0.1541553 -0.18490444j
944.500000, -0.1541553 -0.18490444j
943.500000, -0.1541553 -0.18490444j
942.500000, -0.1541553 -0.18490444j
941.500000, -0.1541553 -0.18490444j
940.500000, -0.1541553 -0.18490444j
939.500000, -0.1541553 -0.18490444j
938.500000, -0.1541553 -0.18490444j
937.500000, -0.1541553 -0.18490444j
936.500000, -0.1541553 -0.18490444j
935.500000, -0.1541553 -0.18490444j
934.500000, -0.1541553 -0.18490444j
933.500000, -0.1541553 -0.18490444j
932.500000, -0.1541553 -0.18490444j
931.500000, -0.1541553 -0.18490444j
930.500000, -0.1541553 -0.18490444j
929.500000, -0.1541553 -0.18490444j
928.500000, -0.1541553 -0.18490444j
927.500000, -0.1541553 -0.18490444j
926.500000, -0.1541553 -0.18490444j
925.500000, -0.1541553 -0.18490444j
924.500000, -0.1541553 -0.18490444j
923.500000, -0.1541553 -0.18490444j
922.500000, -0.1541553 -0.18490444j
921.500000, -0.1541553 -0.18490444j
920.500000, -0.1541553 -0.18490444j
919.500000, -0.1541553 -0.18490444j
918.500000, -0.1541553 -0.18490444j
917.500000, -0.1356474 -0.17333386j
916.500000, -0.1356474 -0.17333386j
915.500000, -0.1356474 -0.17333386j
914.500000, -0.1356474 -0.17333386j
913.500000, -0.1356474 -0.17333386j
912.500000, -0.1356474 -0.17333386j
911.500000, -0.1356474 -0.17333386j
910.500000, -0.1356474 -0.17333386j
909.500000, -0.1356474 -0.17333386j
908.500000, -0.1356474 -0.17333386j
907.500000, -0.1356474 -0.17333386j
906.500000, -0.1356474 -0.17333386j
905.500000, -0.1356474 -0.17333386j
904.500000, -0.1356474 -0.17333386j
903.500000, -0.1356474 -0.17333386j
902.500000, -0.1356474 -0.17333386j
901.500000, -0.1356474 -0.17333386j
900.500000, -0.1356474 -0.17333386j
899.500000, -0.1356474 -0.17333386j
898.500000, -0.1356474 -0.17333386j
897.500000, -0.1356474 -0.17333386j
896.500000, -0.1356474 -0.17333386j
895.500000, -0.1356474 -0.17333386j
894.500000, -0.1356474 -0.17333386j
893.500000, -0.1376246 -0.17609409j
892.500000, -0.1376246 -0.17609409j
891.500000, -0.1376246 -0.17609409j
890.500000, -0.1376246 -0.17609409j
889.500000, -0.1376246 -0.17609409j
888.500000, -0.1376246 -0.17609409j
887.500000, -0.1376246 -0.17609409j
886.500000, -0.1376246 -0.17609409j
885.500000, -0.1376246 -0.17609409j
884.500000, -0.1376246 -0.17609409j
883.500000, -0.1376246 -0.17609409j
882.500000, -0.1376246 -0.17609409j
881.500000, -0.1376246 -0.17609409j
880.500000, -0.1376246 -0.17609409j
879.500000, -0.1376246 -0.17609409j
878.500000, -0.1376246 -0.17609409j
877.500000, -0.1377585 -0.17623840j
876.500000, -0.1377585 -0.17623840j
875.500000, -0.1377585 -0.17623840j
874.500000, -0.1377585 -0.17623840j
873.500000, -0.1377585 -0.17623840j
872.500000, -0.1377585 -0.17623840j
871.500000, -0.1377585 -0.17623840j
870.500000, -0.1377585 -0.17623840j
869.500000, -0.1379275 -0.17648934j
868.500000, -0.1379275 -0.17648934j
867.500000, -0.1379275 -0.17648934j
866.500000, -0.1379275 -0.17648934j
865.500000, -0.1322854 -0.16910089j
864.500000, -0.1322854 -0.16910089j
863.500000, -0.1093518 -0.13828730j
862.500000, -0.0900156 -0.11208526j
861.500000, -0.0675027 -0.08198720j
860.500000, -0.0675027 -0.08198720j
859.500000, -0.0414148 -0.04927766j
858.500000, -0.0414148 -0.04927766j
857.500000, -0.0414148 -0.04927766j
856.500000, -0.0414148 -0.04927766j
855.500000, -0.0153073 -0.01825976j
854.500000, -0.0153073 -0.01825976j
853.500000, -0.0153073 -0.01825976j
852.500000, -0.0153073 -0.01825976j
851.500000, -0.0153073 -0.01825976j
850.500000, -0.0153073 -0.01825976j
849.500000, -0.0153073 -0.01825976j
848.500000, -0.0153073 -0.01825976j
847.500000, -0.0119064 -0.01414022j
846.500000, -0.0119064 -0.01414022j
845.500000, -0.0119064 -0.01414022j
844.500000, -0.0119064 -0.01414022j
843.500000, -0.0119064 -0.01414022j
842.500000, -0.0119064 -0.01414022j
841.500000, -0.0119064 -0.01414022j
